Time (s),Accelerometer_X (m/s^2),Accelerometer_Y (m/s^2),Accelerometer_Z (m/s^2),Gyroscope_X (rad/s),Gyroscope_Y (rad/s),Gyroscope_Z (rad/s),Linear Accelerometer_X (m/s^2),Linear Accelerometer_Y (m/s^2),Linear Accelerometer_Z (m/s^2),Magnetometer_X (µT),Magnetometer_Y (µT),Magnetometer_Z (µT),Barometer_X (hPa)
11,3.8414704444903918,-5.835673478080196,-5.310048873060785,-0.4685990390312,0.8508262069670001,-0.5775074900154,-0.29067604778496003,0.5996174523538,-0.02329413188500001,-14.962537231159999,41.5296022798,11.88178161652,1015.942459
12,9.472212432820001,-3.8089163177580003,-2.492284268206,0.03887812115068,-0.03419603107202,-0.28870875883505803,0.9317291038759999,-0.0898323265202,-0.06169628195880002,-35.409251404,30.3093946842,2.046748962409,1015.93132
13,9.06663084396,-3.2000305023164,-2.3678390532724,-0.049420535429411765,0.04868194881182353,0.14300272200078434,0.22511185215313723,-0.2167354760792157,-0.1704204910190196,-37.71282308254902,26.841293933333333,0.5054674335245097,1015.91835
14,8.637318016627452,-3.2616790681709804,-2.187442366711765,0.08181431361659999,0.03506887295839999,0.19194136798199998,-0.184734229858,-0.41769047143020005,-0.14094380765960002,-37.7485310364,26.271470184400002,-0.33354797353599996,1015.898514
15,8.92320210578,-3.4962554991920003,-2.179973721292,-0.27100701359668,0.05743360600024,0.0844429410654,0.007904383007600012,-0.530734724895,-0.6295615860516,-36.5143661494,28.184352779599998,-1.1094903563912,1015.885468
16,8.9070297362,-3.6021961944935996,-1.978753161562,-0.17869062498889607,-0.019766585504705877,-0.09820922541568629,0.11456083889529409,-0.5910694067676471,0.04644829049627452,-35.947695937843136,28.9982124027451,2.6431878781266662,1015.8747484999999
17,8.766731253486274,-3.736705950571176,-1.8757875150764707,0.0494920047404,-0.08554269052604259,-0.187282971692,0.019993665169999942,-0.9114198810394001,0.6678560465298,-36.9504985046,27.2807140544,3.9782595828166,1015.864029
18,8.34306550608,-3.6564403930566,-1.8860838684135999,-0.04379724756574509,0.0828109300527451,-0.027465782737254908,-0.6255600901078432,-0.9585943969939216,0.1630103317927451,-37.83327446627451,25.626359229019606,-0.16943808154647058,1015.836411
19,8.284375493431373,-3.7169441043941176,-1.7040857471803923,-0.020605138530600007,0.0202690091642,0.1465864733842,-0.52217854213034,-0.81967544958036,0.09172279999600001,-36.6369004824,27.082899971400003,-1.1389254761156,1015.813293
20,8.882699331778,-4.177006869444,-1.4189592590516,0.0760225053921,0.06069897506940002,0.28272427571000003,0.05206750244600004,-0.8118657540498,0.4524133393098,-36.1529776006,28.1521309662,-2.023631286671,1015.787506
21,9.076474374182,-4.589162786866,-1.3789414764380001,0.1106725180182353,-0.008941450428431379,0.19748880195921573,0.45035014188235295,-0.9382003931268039,0.17558464938117646,-35.298588099215685,27.483032095686276,-4.217179840747059,1015.767593
