Time (s),Accelerometer_X (m/s^2),Accelerometer_Y (m/s^2),Accelerometer_Z (m/s^2),Gyroscope_X (rad/s),Gyroscope_Y (rad/s),Gyroscope_Z (rad/s),Linear Accelerometer_X (m/s^2),Linear Accelerometer_Y (m/s^2),Linear Accelerometer_Z (m/s^2),Magnetometer_X (µT),Magnetometer_Y (µT),Magnetometer_Z (µT),Barometer_X (hPa)
11,5.561771237179999,-4.63136303102,-6.6509872009,0.0005218217382628,-0.004383584800946,-0.002654605069066,0.06011475634436,0.024337848168859998,0.0038201614022528602,-45.863337936,-9.6740042114,18.8279867552,1023.750992
12,5.57929679266,-4.6297763305,-6.63545849312,0.0038868738010911603,0.012773064929244,-0.0023348938067040003,0.01966017504938,-0.000985402018234,-0.012946390342108,-45.2204411318,-10.924590606599999,18.952120361,1023.752518
13,5.72677910154,-4.64564333484,-6.501720602420001,-0.001305069811178,0.00020836184724000055,-0.0019973469947279997,0.018875174652647,-0.006174881923506,-0.004923004746572,-44.5133072662,-13.2122293092,18.017400513400002,1023.76091
14,5.62989457402,-4.61468171988,-6.604487896739999,-0.0021441060304632,-0.0057709705410519995,0.0014938530744008,0.010456318473642,-0.010991759705653,-0.013469131422112,-44.3088355246,-14.717935333800002,18.038963013,1023.774643
15,5.613482824897959,-4.613458304857143,-6.620973451591836,0.001603017831231564,0.0017524432647206,-0.00040125614152606003,0.010003673816373999,-0.00774998148702,-0.017047159623820002,-44.7459201048,-13.8354928582,18.4064569092,1023.784943
16,5.664709176620001,-4.63867083434,-6.5554408905,0.004287468088846939,0.007357694134046939,0.0002441534496789796,0.014233578734877551,-0.009313457024485102,-0.007073317109777551,-47.0099671810204,-10.367473525122449,19.88839005530612,1023.796616
17,5.64062725528,-4.63399156496,-6.581447808839999,-0.003001390970245,-0.011347150178259999,0.0016300522093115998,0.0137516922711312,-0.00986203086398,-0.008393607902968,-47.5349151612,-8.60107452392,21.1205535886,1023.807983
18,5.5987233947599995,-4.624606082160001,-6.62255233162,-0.0005942363431049,-0.003931093045966,0.00015255696143860002,0.013756557154439998,-0.007439693141194001,-0.011299381720755598,-48.064594269,-8.93955154414,22.4371618644,1023.807983
19,5.59763964846,-4.62479768376,-6.62579159546,0.0021167993638504003,0.0045615286030086,-0.00099443014708854,0.01527697355758,-0.009099168026502,-0.010241374826559999,-48.1722862244,-9.0594044495,22.4547714226,1023.798828
20,5.65712295226,-4.64788866582,-6.555114569180001,0.001825815860702,0.001374509944328,-0.0003533765673726,0.01652637151478,-0.01101064036504,-0.0027406016705879997,-48.186929626399994,-8.68506607058,22.061719970600002,1023.788681
21,5.611161122224489,-4.634866846816327,-6.605955701571428,-0.0029377036216096004,-0.007894735648277999,0.00031857000899000005,0.013157357882824001,-0.009988471054782,-0.013124215865340001,-50.2078317258,-3.0613941955908,21.947192993399998,1023.774948
22,5.5785573303,-4.62639037168,-6.6405598846,-0.0010254896597408163,-0.0015234108231563265,0.0004932833616228572,0.007637263159338776,-0.00917736606352857,-0.015156054570224491,-53.090969630816325,6.761022139591837,21.274241544489797,1023.76297
23,5.617353652939999,-4.64260764772,-6.59496470038,0.005335463788326,0.01224760934726,-0.0010874788730944,0.009580838262968,-0.010142779075886,-0.01310638185709,-54.454710846,8.39714782718,22.7355706788,1023.7570955
24,5.63619048152,-4.65010705266,-6.572723950199999,-0.0039883732610043994,-0.010386423316918001,0.00035345315465999997,0.01650178981996,-0.011791980403819999,-0.0036510950089,-55.7083615114,10.13234893822,23.6883996578,1023.751221
25,5.58249114988,-4.633793975820001,-6.6316923248199995,-0.0010263208578962,-0.0037019046349982,-0.0003649706132052,0.010262319553024,-0.01028645685916,-0.012703578865511999,-57.0670320134,11.7039581294,25.464140319600002,1023.750839
26,5.57507856446,-4.62992901308,-6.63963480836,0.0024769811704702,0.00379252955115238,-0.00037638903014979995,0.007893846380964,-0.008146411013114,-0.0157045219659,-57.619675903,12.0329255674,26.1089639282,1023.750153
27,5.636623479040816,-4.656217346204082,-6.567054963510205,0.004278879235306,0.00643067195064,-0.0011232244241536,0.00937239671921,-0.008226997339575999,-0.01251635101986,-58.25707611120001,13.3732980346,25.967097168,1023.750153
28,5.605540219020001,-4.6468977264,-6.60204198302,-0.003397618211302041,-0.011720561840244897,-0.00031190010489877553,0.015357902840744897,-0.006712508104318367,-0.010493544474057143,-59.39974524102041,15.042163771020409,26.73855310612245,1023.750992
29,5.567504315260001,-4.629866143819999,-6.6465713836199996,-0.0008356124860340001,-0.003497324406716,-0.00029870795667,0.014891618656926,-0.005744778281252,-0.010305916392768,-59.3961328124,14.081558685600001,27.4028564444,1023.753281
30,5.59353817758,-4.64161670834,-6.6160019531800005,0.00549869221171,0.010874126271398,-0.00016414300130979998,0.018319022583492,-0.005293402469536,-0.009093040144452,-59.5572807316,14.5984324644,27.5247912598,1023.753586
31,5.63146929932,-4.65866026606,-6.570020571940001,-0.001790812253088,-0.007643857491539999,0.0002802293671714,0.020090401482579998,-0.006848925554616,-0.00427933155325314,-58.462861938799996,14.0075613406,26.4674868776,1023.754349
32,5.567962362639999,-4.63988930056,-6.6403054138,-0.0020859781513454002,-0.006657522471682001,-0.00016768901372894002,0.019224054622819998,-0.004126444405454,-0.008751445805902,-54.449392700199994,10.40329040604,23.1396862796,1023.766327
33,5.554383274040815,-4.631815029877551,-6.655096370204081,0.003342186706044,0.004197340952376,-0.000340397876593,0.0176358689904802,-0.0025599753318579998,-0.010360763275348,-50.9876142118,3.5703350829200002,20.1242285156,1023.79097
34,5.62329030756,-4.65989968874,-6.57573269352,0.0034730238508714284,0.002933288445265306,-0.0004510105705212245,0.02411747341322449,-0.0033835569697691836,-0.003350729030361429,-47.06152818653061,-1.1648002158195918,17.028073680408163,1023.827362
35,5.586092660519999,-4.64575709842,-6.6190047088999995,-0.003083904781438,-0.01261292858032,-0.0005273771017380001,0.0371513020636,-0.0035395067453559996,0.0047302337411716,-44.5673657994,-7.10806732176,15.9330126954,1023.827362
36,5.99794920038,-4.48545544744,-6.3758204132200005,0.0007869017821263999,0.005861324480818,0.0009970055310858,0.46030283828952,0.150206795705506,0.25809891725734,-43.3437638852,-9.504988403139999,15.968612671,1023.825302
37,6.7279661224,-4.29672790838,-5.8590290862200005,0.0100273179539544,0.03053901201126,-0.0031484795194339998,1.028045773178,0.367535153974,0.618181286174,-40.1103532416,-13.890991363600001,23.4222317508,1023.800507
38,6.84777398076,-4.29362336422,-5.72975491334,3.293210637919998e-05,-0.010281367094474001,-0.00066912445827,0.9642341732999999,0.36157290605,0.59377984954,-36.0613666536,-17.1130281072,31.7204617314,1023.755798
39,6.787732796244898,-4.298980631959184,-5.79576702822449,-0.0007056184486220001,-0.008733121959759999,0.0010811132639862,0.8711140246819999,0.321349085122,0.5192700902580001,-32.7527764516,-24.6929238122,41.128335877,1023.723373
40,6.76544219052,-4.30007794192,-5.8238821746200005,0.0026433119806606124,0.0014537428639857142,0.00031071406857836734,0.7467035079387755,0.2700918229040816,0.4354416723102041,-25.7234804577551,-33.16117897775511,44.83429702428572,1023.690948
41,6.81850684206,-4.32506098936,-5.7315841095,0.0029495781147962003,0.003547891709066,-0.00048140585299679995,0.67551736379,0.23804465740880001,0.406579076958,-21.085773163,-38.7321191402,52.833498230000004,1023.651428
42,6.7581433685,-4.3364433197,-5.785660656779999,-0.0019052209937746002,-0.0133449817449,0.0006711853114946,0.6274250090719999,0.21278732289000002,0.37190283112000005,-13.172338695,-52.974775772,60.8580541992,1023.6129
43,6.71044954836,-4.33083897392,-5.84825449222,-0.00029335181688119996,-0.005707447650082,5.8055011391900016e-05,0.6332695116179999,0.204290651972,0.37097761448199995,-11.560377350000001,-57.886851425799996,67.21861557,1023.604965
44,6.7231311768,-4.3282044525200005,-5.83028885198,0.0040951890078019994,0.0064948845139,-0.000798678469068,0.62327776612,0.20462556294599998,0.373828003484,-6.11347541794,-62.220510941,71.3791456602,1023.589325
45,6.692582702693877,-4.37141164344898,-5.821537927142857,-0.0006294837361376,-0.008343763127732001,-6.60284763906e-05,0.553193238114,0.17948193921320002,0.33215181019,-0.61979747772402,-66.219356079,73.4437657166,1023.575668
46,6.56542512816,-4.39135812382,-5.934678772040001,-0.0013160688841285715,-0.012645824124618366,-0.007153012433418367,0.48445927492244895,0.12849492671653062,0.29960740404693875,1.974199022534694,-68.65255332428572,65.71962862612246,1023.555222
47,6.480342059340001,-4.47278878776,-5.96078747862,0.004068542602268,-0.015901432908268,-0.015811623819,0.42938725257800003,-0.01263109093164,0.341659628428,-2.2164115524618,-67.55310493420001,61.0562898256,1023.498611
48,6.45423335272,-4.58966873478,-5.86970189212,0.013917635232300002,-0.0159696110210662,-0.0274796910578,0.37469585891999996,-0.19859939909402002,0.454745059814,-3.55437538144,-61.9906274412,65.026713562,1023.405991
49,6.3934537445399995,-4.7160060149600005,-5.85221525576,0.015825665756022,-0.0356366921404,-0.0345056360216,0.364152896406,-0.41715660821199996,0.58100285304,-0.332554664638,-64.80477867079999,58.23682312,1023.333359
50,6.293874819919999,-4.78328810124,-5.88330859682,0.025121920132382,-0.03418365251298,-0.038151341862116,0.333627518776,-0.560616254998,0.66624883701,8.688969307139999,-68.6975167854,47.0141357422,1023.28392
51,6.278262652959183,-4.85104179855102,-5.876858601551021,0.02815906313318,-0.02752419824618,-0.0397423858188,0.3504994256612,-0.6788115272180001,0.714631400756,11.394129943506,-63.875796356600006,38.10538299526,1023.223877
52,6.2573298157199995,-4.89964114382,-5.9357235992,0.0313854304817551,-0.026786055326081634,-0.039073101381836735,0.35632064650469386,-0.7691692801795919,0.7160377973653062,-22.591781772061225,-50.95292250979592,84.67830486673469,1023.214645
53,5.7985039489400005,-5.11223505248,-6.11204194332,0.038552564978600004,-0.035415482210458,-0.0439078928528,-0.08931587994912,-0.9651787676079999,0.549853764626,-31.6926346586,-15.323884810942,47.118106995,1023.195877
54,5.60663594052,-5.1193452667,-6.30317647696,0.023717432930315998,-0.040949887484419994,-0.044283323418,-0.2025671734598,-1.026647119332,0.463657526234,-35.0653254704,-6.5715322876,13.2246899414,1023.195877
55,5.56391777336,-5.0737800202,-6.405773126200001,0.0267688163562,-0.0312803727763,-0.040703556053399995,-0.17786977414515998,-1.03895221625,0.44869553049600003,-40.0860729216,-5.25683639524,14.32037384038,1023.2032395
56,5.59137367864,-5.04504876714,-6.420957550000001,0.036567578147800005,-0.0171844949195574,-0.0453931052236,-0.1470698580645,-1.034881583536,0.44531474057400006,-36.0399448398,-5.3228912353,13.9943185422,1023.210602
57,5.6511402301428575,-5.015971274938775,-6.371692853693878,0.0239717637471,-0.03272061494792,-0.042095201164800006,-0.1382196293937,-1.013821181606,0.46632287425,-37.7045618434,-6.92332885736,16.7110293578,1023.253708
58,5.5879068879,-4.83506842344,-6.5612548003999995,0.022902580282,-0.03077485327730612,-0.035990100049387755,-0.11600663445714285,-0.8999064052448978,0.3810962538693877,-39.714808172653065,-7.008405568632653,16.345332554285715,1023.319168
59,5.5110836426,-4.80333142088,-6.59904222108,0.0271577095984,-0.02902190825002,-0.0361969639548,-0.13654646033014,-0.8765063854340001,0.39312956879600003,-42.5891856394,-7.198596649160001,22.0001849372,1023.446198
60,5.2093950072799995,-4.89902742004,-6.81157026674,0.0358388192952,-0.015056104720442,-0.0350032661854,-0.373489940862,-0.920265889042,0.19690084727260002,-48.2026452634,-6.803787689440001,30.480511474599997,1023.569794
61,5.3183384582799995,-4.92065744018,-6.73317229622,0.02187971632012,-0.028929862743100002,-0.0338967725626,-0.3033965484682,-0.9136269837819999,0.23006014996080001,-43.720847854599995,-15.429729308999999,18.966690368800002,1023.655472
62,5.23880285348,-4.76610383612,-6.8682454102,0.02317641967908,-0.027698948364199998,-0.0316544057432,-0.3057005151602,-0.776704781352,0.173894626451,-46.505678939199996,-9.82106201126,22.0635623166,1023.655472
63,5.22921354955102,-4.848411553836734,-6.811276693530612,0.0299683266878,-0.0179797585486926,-0.0361538271232,-0.271904450684,-0.84184982132,0.255594110404,-44.4589815522,-8.90171539296,20.7732626346,1023.638382
64,5.30653101204,-4.77239375604,-6.80185247498,0.02654967574944898,-0.016946074970065308,-0.032765611550204084,-0.24913624329183673,-0.7172555755061225,0.19045890916408165,-43.46269989040817,-9.037460638591837,14.548227426734693,1023.584747
65,4.9988787781,-4.8123726197000005,-7.01506609494,0.021191674145160003,-0.0427515309118,-0.0298674402386,-0.430555315774,-0.752759602956,0.073520059564284,-44.54399635280001,-11.9838374336,15.7407635506,1023.527679
66,4.72052661436,-4.78159661856,-7.226408605960001,0.022087608632000003,-0.022654288269094002,-0.033046015334,-0.5901970032380001,-0.732560712238,-0.04646877004068,-42.777923583399996,-14.0767193608,18.3344082638,1023.465271
67,4.89786583552,-4.75102120056,-7.1411429169,0.0301098266622,-0.008461088648448,-0.030791054648,-0.465375730564,-0.6435126406080001,-0.02544284913708,-38.534195480600005,-16.398429108000002,12.7228921508,1023.465271
