Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,7.57569825446,-1.37741465156,-6.03174591978,-0.0002609742246419,-0.005447978880666,-0.003922956520894,-0.07834876041578,0.000485140559812,-0.05198146648934,-32.1290565488,-21.1998013312,42.2264248664,1007.816544
12,7.566109188999742,-1.373220361697626,-6.0442635776329965,-0.0005072040792922048,0.0019329492384168173,0.0009733695311198356,-0.05498573024654754,-0.0034989194950639894,-0.02196391488304255,-33.67546370070386,-17.795649961985955,43.86413463960495,1007.8180539159249
13,7.570350103539437,-1.3762087440057995,-6.037123728828291,-0.0001393178946265957,0.001917143126943616,0.001074253683075588,-0.0448825826609849,-0.0014915139371589011,-0.00875458336986707,-33.45801978216147,-17.507356556780167,43.30528569348265,1007.8186986030004
14,7.569044691054366,-1.3752399975094338,-6.038502690959485,-0.0003920849218796138,0.0002968828838720266,-1.3511645388556088e-05,-0.0398158496881002,-0.0022809039773936317,-0.001446839655263022,-32.27648377922601,-18.314006460176024,41.84988441060013,1007.8202120566611
15,7.56704739259233,-1.372861219405567,-6.0431069463821565,-0.0004763794443760225,0.00011777283267811234,-3.1862419329032354e-05,-0.03544737739149822,-0.0021809620441866264,0.0027863585644386625,-31.602935831423686,-18.241868804944275,41.24858640018268,1007.8214280408191
16,7.566948102635545,-1.3745745055499186,-6.0412529567299815,-0.000686606097769837,0.0011643816978584758,0.000538858748171601,-0.03260925222417574,-0.0020180085847698198,0.007636518997563492,-32.09604764008728,-16.733171673418447,41.67102485374359,1007.8223616234836
17,7.569507839385068,-1.3723069981252158,-6.037867372272045,-0.0061540853310941,0.0014078793210592485,0.0038485315296600524,-0.03211224814483492,-0.0031054238904600177,0.009566044603594611,-31.67129144244094,-16.406107124486567,40.865218527127766,1007.8239000230906
18,7.572103665159629,-1.3695894287875214,-6.035938613744717,-0.004328193223428084,0.001380596266335814,0.00272722265024245,-0.02992166694431453,-0.0038742829096844863,0.011792340531014942,-31.099079268090033,-16.46420585018067,40.019372185461684,1007.8249727899848
19,7.57579968566399,-1.3693215754276988,-6.030848353071008,-0.003200754919380408,0.0015680326978599027,0.002469290117866482,-0.02837127830582192,-0.00318203389177995,0.014381083112894181,-30.58714388288679,-16.45875828865349,39.21608715333045,1007.8258415768497
20,7.576722799344759,-1.3683188974238762,-6.0314613689295955,-0.002397680907010418,0.0003913926174666867,0.0015741892482835727,-0.026862454301808628,-0.001358198151182248,0.01460502522596604,-29.723510187063816,-16.906511646840347,38.25786416133127,1007.8262807370206
21,7.5733591372563325,-1.3662524220416095,-6.035094154906329,-0.0017151735240225892,0.00021287705647223473,0.0010412741299220788,-0.027181256427798436,-0.00030046682384928447,0.014455479270268126,-29.2228789521072,-17.070213311833992,37.79683317031639,1007.8264954291554
22,7.573846605767704,-1.36594962675919,-6.035478081460715,-0.0012912680213550275,0.0008405397295771454,0.0012957160858943968,-0.025761006969394113,0.001044419735089331,0.015076597732643107,-29.073326732307294,-17.00439651593998,37.62561383938574,1007.8260731668023
23,7.572299518587179,-1.3661007498497704,-6.037716607439299,0.0017155028764063844,-0.0010861234047072218,-0.0016509744388027141,-0.024365665649696326,0.002447452149487145,0.016159842323344994,-28.35356469115184,-17.444470615683546,36.90871478802083,1007.825022544823
24,7.565403106558503,-1.3650239353208031,-6.046288604121352,0.0008972329256554282,-0.0008198367149352111,-0.0010573023933494732,-0.026785045604727643,0.0014916774388804219,0.01365219024479573,-27.319704973712234,-18.14607010481556,35.96296540892187,1007.8239781007558
25,7.563692615561657,-1.3627883387092963,-6.048530014375646,0.0007090416045202452,-0.00031679256059162714,-0.0005601764800559008,-0.026114942979978323,0.0018995310524782866,0.014756125118575181,-26.712862273447318,-18.21217333414864,35.47927683356269,1007.8229378796385
26,7.563111073612541,-1.363450895884673,-6.049359794118221,0.00030066208154906675,-0.0005371852828975324,-0.0006289281684382553,-0.026189358002578503,0.000739917065153568,0.015150324405998668,-27.3329724972764,-16.860432035657453,36.2715837685555,1007.8206327814188
27,7.561287444635401,-1.3597206162406186,-6.0537992587210745,0.000658851043246367,-0.0008189290825578856,-0.0011891125699356225,-0.025139305657578936,6.21881657777403e-05,0.01539491908283621,-28.857474379706186,-14.388050307748957,38.21169588673764,1007.8170956054096
28,7.556900024400191,-1.3583895068874072,-6.058958458075873,-0.0005010249455385811,2.085498981934384e-05,1.8286314563207033e-05,-0.026686116779387994,-0.0026513799286000312,0.014862843267834169,-30.90158533288137,-11.457789819862658,40.506534380332695,1007.8121026919381
29,7.561263638010693,-1.3582365789107123,-6.054465788595941,-0.001355940876837288,0.0008699621562282653,0.001045662315405767,-0.023454726585126144,-0.0031823074593465314,0.018073911412478418,-31.864156322262122,-10.038277252696837,41.16946251078942,1007.8056347837298
30,7.562817780949867,-1.354619617957694,-6.053142562666167,-0.0015818756762699347,0.0003110474122739418,0.0006621472031529327,-0.021703619954886785,-0.0031998479409578798,0.020160993617401427,-31.11980930662074,-9.735360037465687,40.203471523508156,1007.7964210267767
31,7.557401632196118,-1.3531760396229588,-6.059549785314264,-0.0021758850067247625,0.00022037731382620724,0.0009963165418152013,-0.026683064023772952,-0.00639041543997196,0.015197185268612792,-30.149871020479104,-9.66219700304044,39.051984281598536,1007.7861720216985
