Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,9.1251411712,0.522269934084,-3.72241120604,-0.0002761324075441,-0.001001176471106,-0.0013551814225485,0.07327287436502,-0.10204749548728,0.002722048455026,-5.09252258298,19.674844971,29.057922058200003,1016.015701
12,9.12795119723187,0.5273682934074264,-3.718101313925282,-0.0002774529622683128,0.0006227845567344866,0.002177152015513514,0.06944577018300713,-0.06967768924515352,-0.004561610660203431,-1.9757538601912108,19.608235013738476,23.19878853938576,1016.010715802176
13,9.128307980834979,0.5249737628062593,-3.7160658993872833,0.0004606690979663219,-0.00046867426089262226,-0.00012716178167571958,0.06795666662910242,-0.06247996090709407,-0.0035970403292965546,-2.181115861939625,18.894152690216828,19.25952791917485,1016.010490593157
14,9.153686033336145,0.5295155488138004,-3.706924032019905,0.007886908113197613,0.017578725333452894,-0.012140575486462656,0.09014617702919779,-0.0603973875089026,-0.005594503145824629,-1.670522561808816,18.707226039689644,17.09392001462072,1016.0102653637754
15,9.171439760045132,0.7403056343671758,-3.5001537418105557,0.002891007647626574,0.0135824226738973,-0.009796044278094485,0.049375486892484895,-0.05869031746394703,-0.013503357586565191,-1.9976481416447323,17.938388704101172,16.05729313390282,1016.0101472942952
16,9.211148793167517,0.7622660144263318,-3.430294527828362,0.0015546940559322186,0.008650328296387556,-0.006519170980058742,0.06587254155068076,-0.05703782726853884,-0.00720603239729654,-1.8694605742138488,17.699027332513964,16.277395948588374,1016.010575477363
17,9.227086164822206,0.7781647940901764,-3.403159960272856,0.0005359382029977756,0.004705752466011093,-0.004372892733175997,0.06842235831673485,-0.05189180858203663,-0.007691311033882784,-1.355411975240066,17.462941025875804,16.791005502612038,1016.0114492349757
18,9.241143375023203,0.7824960861408117,-3.373822734214958,0.0028700650720573876,0.006633686981920534,-0.002624627202804321,0.06959129620021333,-0.04716304504550125,-0.009275798708893229,-0.5317694135345454,18.221291889344787,15.417369913011314,1016.0120585293595
19,9.254342055041922,0.775020235860389,-3.3319809715076762,0.0011117544146626828,0.006046724141587399,-0.0014948044681499563,0.06503602067454922,-0.04633980134434692,-0.00998892271682561,-0.5789296017426857,18.038089946076397,12.271166070104952,1016.0084117511452
20,9.268833777789864,0.7705907342588642,-3.299869297017727,0.0005389006175298452,0.0043719797381169415,-0.001067997489348532,0.06640130353504933,-0.039414545312128915,-0.009619845718452116,-0.17860070402101924,18.881123503739776,9.370125973957721,1015.9987814284891
