Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,4.78155470578,-8.355720190340001,-0.7418483184833999,0.1631017336086274,0.0882115305133333,-0.0761807611423529,0.3433481993307843,0.3353162861734706,-0.141539869712549,-0.7938863716771765,47.82519015176471,4.879006142764706,1026.977463
12,7.0109816875526425,-6.698280769043257,0.4610667307112164,0.15356612642563888,-0.18981122549641255,-0.42503655677812574,0.08734266275194053,0.0366428267476151,-0.179387817316515,-15.521741867445849,44.79730910906513,-0.4920714879518231,1026.973383751731
13,7.629896663592675,-5.4554968894426334,-0.19395486941509488,0.04797512736102505,-0.11155632570475732,-0.46247598843483206,0.1270316602589206,0.3072847766075749,0.44067277606896127,-20.649678791304297,41.8488271417148,3.5519923061844354,1026.9715318358337
14,8.08800368041959,-5.007580870647152,0.37024070254127694,0.13953500307858385,0.003997755114693677,-0.04237451230140182,0.2666615755171871,0.173345135258228,0.28255143207605055,-23.171009863943258,39.25062956823601,-2.155402093014864,1026.9684244177165
15,8.161213574997666,-4.7391661927961035,0.4434889754714573,0.06701707714273634,-0.04720990587327242,-0.23105063245627053,0.10345379073515112,0.07289733884651951,0.18518216494434286,-25.097955986527033,37.58704436374808,-5.072850036055576,1026.9646325821236
16,8.180390666215493,-4.795149585277504,0.7029000803389259,0.08909685791990504,-0.0346270758137379,-0.008697865742386263,0.11384004007779658,0.09236897992633024,0.13137013026689012,-25.155574229592325,37.27321946088287,-8.129195200967782,1026.956729704026
17,8.311423449718452,-4.371890293886103,0.6713735661167595,0.0076507144289698625,0.013576248972223842,-0.0006018428280804237,-0.03446351860446703,0.04747825205173489,-0.00666825648227537,-27.393381645397422,35.453355498763464,-9.524257563682129,1026.9391971896632
18,8.259543920301962,-4.496028282904188,0.8536040928782631,0.04126523219693644,-0.05432003623332256,-0.13475940210764037,-0.059882678695688724,-0.032697898519763666,0.08839599383929243,-27.309906760987705,35.26141042104794,-10.899701125653923,1026.9037261194585
19,8.316809866649363,-4.7241441427004265,1.058423979535448,0.006606043955307728,-0.045161662698920454,-0.02989679128319099,0.05500366750706007,-0.10461888255486722,0.05731540124810629,-26.709942679117223,35.27174438407108,-12.610021236269922,1026.857464539371
20,8.2962576597788,-4.624602248670515,1.1002920317869886,-0.02473641449386523,0.009592778338944917,0.06281486450084392,-0.04078272293419,-0.18638459627650006,-0.03154900092683688,-27.185440089939902,34.251372320567896,-13.857049562346878,1026.8056165100327
21,8.324154393902154,-4.491389167770511,1.0031042978836209,-0.047320390343957755,0.022739265246352565,0.0032282740801862844,-0.1537378879763419,-0.29590447841336204,-0.14935260286844254,-28.208484877543242,33.56311628377925,-14.358282558999072,1026.7552811509447
22,8.297724474083074,-4.59685529931286,1.0665295627219684,-0.0325039191619608,-0.04350423173922185,-0.10149376608731306,-0.15435773950007273,-0.3038767262209041,-0.005271350713555667,-27.805936320155602,34.014427025526906,-13.996021294396634,1026.718677329491
23,8.54278244817682,-4.257576089116642,0.808849946036247,-0.03697910307733525,-0.029542569097140287,-0.06051437763288717,-0.14128713899747497,-0.32864829212328234,-0.04748482123421922,-29.8440090345522,32.836412385345874,-13.131074191670173,1026.6994016975557
24,8.69397507967857,-3.9385182960308134,0.5358543396571662,-0.024302680620312482,-0.008873405236871749,-0.03630808818271895,-0.19386495274518625,-0.3454444221655939,-0.13113250631294462,-31.592534148977606,31.73223331420555,-12.25725972762751,1026.692731580291
25,8.828693856936791,-3.8128444277625757,0.3803888945191487,-0.07239763394169503,0.04081453436729918,-0.023146115420528912,-0.17602391957297453,-0.4260661808431573,-0.39285284014206456,-32.46056189726814,31.377888124168575,-12.41527909899357,1026.708773218478
