Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,5.561771237179999,-4.63136303102,-6.6509872009,0.0005218217382628,-0.004383584800946,-0.002654605069066,0.06011475634436,0.0243378481688599,0.0038201614022528,-45.863337936,-9.6740042114,18.8279867552,1023.750992
12,5.579123443941108,-4.629792024867162,-6.6356120906252425,0.0038535894087782584,0.012603365129736682,-0.00233805613373033,0.020060319275838748,-0.0007349247661361386,-0.012780549078563384,-45.226800150634816,-10.912220810406133,18.950892531071215,1023.7525029060337
13,5.656134139241727,-4.638059370814379,-6.565780180563723,0.0011630597006178378,0.006138676701531876,-0.002160357235384498,0.019442199977547318,-0.003572167103525432,-0.008682399625964031,-44.85467365026304,-12.111804060853682,18.464024161057754,1023.7568876763996
14,5.646076293982887,-4.629098521287099,-6.580617172576904,-0.00010460464090141712,0.0015736091007129832,-0.000759667798326061,0.015997836287949367,-0.0064161591302699505,-0.010517194040216053,-44.645449322119504,-13.110756019318833,18.301094660641724,1023.76369344074
15,5.635456319759949,-4.624002448362351,-6.593766513684337,0.00045179230442859584,0.0016318788788391753,-0.0006428860422478939,0.014044750202808652,-0.006850760277197725,-0.012644861579803542,-44.67818585346095,-13.346898006146835,18.335424984942097,1023.7706172134443
16,5.644192825411583,-4.628383232010497,-6.582320382964379,0.0015973352279360403,0.0033419209980296285,-0.00037796745424411676,0.014101144747297133,-0.007586256442713104,-0.01098089316866389,-45.374583502554124,-12.45707863084217,18.799225432841407,1023.7783818754316
17,5.643176540616139,-4.62998175995807,-6.582071675525518,0.0002865727576589379,-0.0008448651665228608,0.0001943729507158961,0.014001541254685444,-0.008234914260913526,-0.010243446258361537,-45.99033698286016,-11.35801222619579,19.460867308578525,1023.7868190037776
18,5.630818896520352,-4.628487361491488,-6.593324996997939,4.171437533443149e-05,-0.001702813574855501,0.00018274841654514516,0.01393343749596028,-0.00801384870108229,-0.010536988467378957,-46.566965088960075,-10.685698134742756,20.28825507015784,1023.7927024374003
19,5.621717607131368,-4.627475258241732,-6.6022308018414275,0.0006109240497932557,1.5537331972076277e-05,-0.00014015952731937046,0.014301978412833847,-0.008311559042261055,-0.010455899670926075,-47.00731540037509,-10.239594912814722,20.882544978526976,1023.7943827201417
20,5.631360620142169,-4.633035061547048,-6.589398207132255,0.0009418124367513857,0.00038566761977636567,-0.00019823139991058305,0.014907814948116115,-0.00904668183850009,-0.008354558228576897,-47.328595571150366,-9.81620285726849,21.203705519379216,1023.7928297975163
21,5.625879922266266,-4.633532076951854,-6.5938907259548944,-0.00011081052978177295,-0.001861041124559269,-5.800848963984301e-05,0.014432866196483634,-0.00930221601951091,-0.009648701904084256,-48.109814170806644,-7.983431288635524,21.405434801771886,1023.7879779576308
22,5.613065906976483,-4.631598245419256,-6.60652780451699,-0.0003584874187589341,-0.0017696175641685838,9.12703625466146e-05,0.012592752255063325,-0.00926840913830652,-0.011139983305585969,-49.45861185016559,-3.990926993784525,21.369910280927222,1023.7812063008357
23,5.614225692428549,-4.634576160793206,-6.603400119231313,0.0011816602091423794,0.002021879410819309,-0.0002275676065782435,0.011778064523880033,-0.00950491604472251,-0.011671871260796952,-50.80999856517994,-0.6400967256866728,21.739305547203017,1023.7746846094191
24,5.620163502057888,-4.638774675010435,-6.595107335216544,-0.00021597099028448463,-0.0013324955897214717,-7.049846029317364e-05,0.01305504384895507,-0.010123185253583364,-0.009503589914456809,-52.134188228416185,2.272051955930944,22.266210209487962,1023.7683416190372
25,5.609982532849929,-4.637428638934629,-6.6049944442260236,-0.00043496838685986927,-0.0019728293925356443,-0.00015007968493351936,0.012300308919505091,-0.010167309474472482,-0.010368388290270019,-53.467291360534105,4.821028613162595,23.13045218266015,1023.763611528794
26,5.600551257435548,-4.635402192080516,-6.614354492085116,0.0003518590008216649,-0.00041499254564064864,-0.00021122991689963652,0.011109654569264289,-0.009621249789778538,-0.011810245725522112,-54.58929221181028,6.769729278820391,23.93526509915541,1023.7599749482679
27,5.61029735636417,-4.641026091642975,-6.601574966337776,0.0014128728778931004,0.0014345892223745526,-0.00045763527521998744,0.010640277133728632,-0.009244546562019361,-0.012001023330737198,-55.580264853402156,8.553900907617091,24.48423146352301,1023.7573212253966
28,5.609012118429311,-4.642612433844891,-6.601701140444762,0.00011322033775481763,-0.0021195438541502373,-0.00041826193873861,0.011914840191815726,-0.008560464593616916,-0.011593747090336374,-56.61217558678364,10.306837802240452,25.093282555141037,1023.7556112557259
29,5.597798212769506,-4.639168847749318,-6.613823455659739,-0.0001431199395056473,-0.002491770278019604,-0.00038596278113918746,0.012719057961224581,-0.007799768091668366,-0.011245821860725334,-57.36430003821873,11.326630724198447,25.717245803758523,1023.7549817049937
30,5.59664732059089,-4.639830162382375,-6.61441199909792,0.0013810734507389314,0.0011191636966122014,-0.0003260358936109023,0.014231945812519726,-0.007122647724594951,-0.010664225810620018,-57.956756254093534,12.210541505512106,26.205572738938635,1023.7546046409815
31,5.60605476938565,-4.644917272380498,-6.602419283773982,0.0005241619991034238,-0.0012482397687750405,-0.00016224826278097098,0.015814656610237503,-0.0070486993910410375,-0.008939293225559244,-58.09348493774047,12.69602144372207,26.2763310340731,1023.7545355774322
32,5.595763825415718,-4.643558928796891,-6.612654500570301,-0.0001809865682026987,-0.002709597292987961,-0.00016371812168312298,0.016735730570015265,-0.006259230704451339,-0.00888854486293945,-57.10900660618759,12.076623283756678,25.428943373918283,1023.7577211170013
33,5.5845845871457565,-4.64038623438187,-6.624120461208671,0.0007708227284480164,-0.0008436408038807303,-0.0002114493628577844,0.016978909105437767,-0.005259851627623965,-0.009286274711162832,-55.45527068805542,9.778591492720869,23.99583846388286,1023.7667035295817
34,5.595041190538841,-4.6456579216381275,-6.6110481894518855,0.0015008400262304955,0.00017672132294144498,-0.0002761683891437016,0.018907438918697294,-0.004752958360278079,-0.0076827482442368,-53.187646280531766,6.822162684609305,22.113451258649825,1023.7830908118957
35,5.592623688016887,-4.645684714879005,-6.61319769398406,0.0002622419423307127,-0.0032784842617690577,-0.00034403402684676456,0.023836135036398472,-0.004425136658482636,-0.0043293019026010605,-50.858822467099465,3.0588221023127464,20.44376631799673,1023.7950509560386
36,5.70212493041534,-4.602397768170733,-6.549068725123237,0.00040398210558676426,-0.0008093073112174247,1.825626384566127e-05,0.14175036647258235,0.0373496546928237,0.06656733589078731,-48.828582015129236,-0.33537050990393036,19.234775348212644,1023.8032234662719
37,5.97926235124908,-4.519819141741116,-6.36265019631693,0.0030037865369858872,0.007659637426413857,-0.0008372572350245755,0.3811886197132487,0.12655133462385754,0.2155892982294632,-46.47329792689726,-3.9975063556339054,20.366042913147922,1023.8024895959007
38,6.213896185784905,-4.45871094142205,-6.191669587585029,0.0022011916802036876,0.0028127631381202204,-0.0007918351165627918,0.5387020130850322,0.19004387822215568,0.31775983483952386,-43.66044974321443,-7.540746372167591,23.43350998638959,1023.7898755700035
39,6.368921718703468,-4.415558803868683,-6.084714046356156,0.0014158988266280872,-0.0003064296036613648,-0.0002858464509201184,0.6285051875549262,0.225516797348583,0.3721990849071751,-40.71367389428662,-12.174513893942251,28.213877365518858,1023.7719094866841
40,6.476044190244846,-4.384360930803013,-6.0142486940147295,0.00174749212384175,0.00016909193551576773,-0.00012468191638822257,0.6604371989175478,0.23755901772789917,0.3892844632187865,-36.66397990888354,-17.844191988720123,32.70398710372629,1023.7500372375325
41,6.568562604321999,-4.368340683023886,-5.937885099513348,0.002072243126259081,0.0010818956963820462,-0.00022105310519799983,0.6645111991935673,0.23769021630634773,0.393956710620797,-32.45543052501354,-23.487195344476156,38.14209965608854,1023.723397339075
42,6.619779025815692,-4.3597234121123725,-5.896760720389349,0.0009977064783509766,-0.0028156148927027877,1.9990647422849005e-05,0.654492134479396,0.23096254490384907,0.3879987180312988,-27.24598344239562,-31.453448432195724,44.27895593238882,1023.6935457962957
43,6.644274230816495,-4.351920101675847,-5.88365646148047,0.0006489190585559356,-0.0035968614790498166,3.027397184277236e-05,0.6487587110573506,0.2237569673159858,0.38340036115543286,-23.008419501950463,-38.594596481505505,50.476247507468784,1023.6696151438244
44,6.665577924670331,-4.345513171723642,-5.869238870229258,0.0015799502951925788,-0.0008705136043876118,-0.00019367267991124478,0.6418748754829254,0.21858849957216298,0.3808143292625127,-18.44414539832581,-44.97728404801708,56.1232953020518,1023.6479242626702
45,6.672873433212211,-4.352509804746475,-5.856352164127133,0.000983057966204199,-0.0028894583883668713,-0.00015918880538006689,0.6179169802405078,0.20802361935379643,0.3676678474342472,-13.628787079334995,-50.71596176697973,60.802527982599315,1023.6284037844403
46,6.643845606129042,-4.363004919471552,-5.877512583822922,0.0003619345653157525,-0.005525201198962595,-0.002048613704416182,0.58186255210405,0.18653844900231173,0.349280895858877,-9.413543457520017,-55.561643399034416,62.13091326667962,1023.6086332707654
