Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,-2.3606330383538,-9.6764327543,-1.4653088745633598,0.0977705535899999,-0.0540172379637255,-0.0260000433109804,0.7596940706960784,-0.4848213355235294,-0.0021123940266666,11.30383959045098,38.11330062274509,24.92030226,1014.963379
12,-3.4645676722593577,-9.54576927879814,0.27787155972238975,-0.24562785918502394,-0.9634664494947979,-0.04147946247629891,-0.5877051812701255,-0.24936139375004418,0.4443484599801238,26.94081571866559,36.12104047002834,9.167550694737121,1014.9630007784372
13,-3.1225127474577627,-9.294404013773356,-0.8651205906598585,-0.16887637363203092,-0.7988465449399916,-0.1413043699795089,-0.1915929249793582,-0.11889125243717713,0.38965510819905164,28.202107814535463,34.855671858619395,10.817731538386766,1014.9628397331882
14,-3.0897780373380366,-9.36691782344036,-1.0429888717896865,-0.18855352200753348,-0.3355798973117943,-0.06984896970515825,-0.1896877252111471,-0.16652854607134732,0.18328580932514504,28.471948423541058,35.320655491026386,6.801957536961701,1014.962783105819
15,-3.018987821742465,-9.277419061440902,-1.4044498936467238,-0.06871487972762405,-0.3641455369531226,-0.04901229490188816,-0.06204165582722562,-0.1290782556548959,0.06747965501030938,28.8908409260218,35.3112928199353,6.0289992400657155,1014.963026793194
16,-3.0707341995272524,-9.53424639995363,-1.722111571046208,0.016885775314824714,-0.1943513335374133,0.003019779203245955,-0.026877732718526677,-0.40690415441837774,-0.3068402318785951,29.382612402555896,35.15987398689435,4.328170883377272,1014.9635193366967
17,-2.9531269046069406,-9.76013543611475,-1.9226216419925373,-0.03618171390526673,-0.010757605265215214,-0.12014689268660816,0.19638392246494538,-0.4548402260816578,-0.46392354533890134,29.523936565275566,35.11193159667918,4.3269323828747535,1014.9635226610565
18,-2.6751483608100313,-9.433496856893516,-1.8254338436127884,0.008391303175646715,-0.00909792658434943,-0.08332138510137355,0.19694648459095515,-0.3883984450260621,-0.4004235600176911,29.176429709816606,35.55450718906007,4.014630504243299,1014.9622737346799
19,-2.9440424659922098,-9.906431413481252,-1.9253464071611155,0.07032851932210157,-0.10251625285837532,-0.04246162075723684,0.13345150036715825,-0.8504263566405424,-0.713384069063413,30.020163334978275,34.971029639544625,3.176205410264069,1014.960860853749
20,-3.215999935442099,-10.206940257988347,-2.142892011939491,0.04709677586519333,0.015417410184508124,-0.12697666698089333,0.22910788516064007,-1.360466011035888,-0.9181454980938769,31.621790717965823,33.33340553013559,3.8082361673800635,1014.9588454268206
21,-3.1583308011610893,-9.521738807720311,-2.016633804643026,0.030321783080755654,-0.03815314828205277,-0.12445955625510226,0.577422795783217,-0.7853281121265872,-0.7722535963573004,32.82447794730912,32.256065493347215,3.9731162344200843,1014.9573429655447
22,-3.8234086013404256,-10.04578224330309,-2.23572279291432,0.09678114292309192,-0.06772280433985178,0.0035407928714077247,0.27390025499536313,-1.4940822515745003,-1.0754514614264803,34.16207417084057,30.73788428166942,3.6043219509307054,1014.954659544271
23,-4.1029250580961465,-10.333149238308263,-2.34468323321441,0.07894888194780371,-0.011991819791507291,-0.07626867755170202,0.2677354721105336,-2.0137566547223136,-1.1709665121753228,35.28613885259793,29.27704646460591,4.093564272648076,1014.9527048480306
