"Time (s)","X (hPa)"
-4.882020000E-1,1.007658310E3
5.429440000E-1,1.007656937E3
1.574065000E0,1.007658310E3
2.605187000E0,1.007658539E3
3.636253000E0,1.007662659E3
3.830761000E0,1.007670059E3
4.895127000E0,1.007672043E3
5.959499000E0,1.007677765E3
7.023879000E0,1.007683105E3
8.088267000E0,1.007685013E3
9.152634000E0,1.007685013E3
1.021700200E1,1.007685013E3
1.128139000E1,1.007684479E3
1.234587700E1,1.007684479E3
1.341031700E1,1.007683868E3
1.447476700E1,1.007683868E3
1.553923100E1,1.007678452E3
1.660373300E1,1.007671967E3
1.766820000E1,1.007663879E3
1.873266900E1,1.007663879E3
1.979711300E1,1.007665024E3
2.086159400E1,1.007675095E3
2.192604200E1,1.007687454E3
2.299047900E1,1.007693634E3
2.405491600E1,1.007693634E3
2.511942500E1,1.007689209E3
2.618388700E1,1.007680511E3
2.724833700E1,1.007672272E3
2.831281400E1,1.007666168E3
2.937727000E1,1.007666168E3
3.044176500E1,1.007666855E3
3.150623400E1,1.007675323E3
3.257076100E1,1.007683487E3
3.363529700E1,1.007690201E3
3.469982100E1,1.007694244E3
3.576430500E1,1.007694244E3
3.682878000E1,1.007691345E3
3.789331500E1,1.007682800E3
3.895785800E1,1.007682800E3
4.002241000E1,1.007683258E3
4.108693900E1,1.007688293E3
4.215150800E1,1.007688293E3
4.321601900E1,1.007686005E3
4.428057700E1,1.007679520E3
4.534511900E1,1.007675552E3
4.640960700E1,1.007671890E3
4.747411800E1,1.007669373E3
4.853862800E1,1.007668533E3
4.960312000E1,1.007666397E3
5.066765700E1,1.007664490E3
5.173219800E1,1.007660904E3
5.279671700E1,1.007660904E3
5.386117300E1,1.007668762E3
5.492566900E1,1.007682419E3
5.599016400E1,1.007691269E3
5.705469500E1,1.007702255E3
5.811922600E1,1.007709579E3
5.918372600E1,1.007714005E3
6.024823900E1,1.007716064E3
6.131274600E1,1.007716064E3
6.237727500E1,1.007705612E3
6.344179200E1,1.007705536E3
6.450632200E1,1.007705612E3
6.557086200E1,1.007705765E3
6.663540800E1,1.007709351E3
6.769997400E1,1.007713776E3
6.876450100E1,1.007716293E3
6.982904000E1,1.007719116E3
7.089357800E1,1.007719116E3
7.195806200E1,1.007718048E3
7.302255800E1,1.007714844E3
7.408704000E1,1.007713165E3
7.515152200E1,1.007712173E3
7.621606900E1,1.007705002E3
7.728063100E1,1.007694626E3
7.834515700E1,1.007685013E3
7.940967000E1,1.007658844E3
8.047419600E1,1.007621231E3
8.153864700E1,1.007600327E3
8.260313400E1,1.007590485E3
8.366766600E1,1.007580719E3
8.473220900E1,1.007580719E3
8.579675800E1,1.007595062E3
8.686127700E1,1.007616577E3
8.792585700E1,1.007639771E3
8.899047100E1,1.007676163E3
9.005507100E1,1.007722626E3
9.111967300E1,1.007753220E3
9.218422700E1,1.007766800E3
9.324879700E1,1.007766800E3
9.431338900E1,1.007750015E3
9.537801700E1,1.007729568E3
9.644266500E1,1.007716370E3
9.750729900E1,1.007707901E3
9.857192300E1,1.007697372E3
9.963651800E1,1.007691498E3
1.007011520E2,1.007673798E3
1.017657800E2,1.007641830E3
1.028304060E2,1.007607727E3
1.038950110E2,1.007563324E3
1.049595650E2,1.007516556E3
1.060241510E2,1.007485199E3
1.070887850E2,1.007459488E3
1.081534620E2,1.007424622E3
1.092181620E2,1.007405014E3
1.102827940E2,1.007400970E3
1.113474370E2,1.007400970E3
1.124120500E2,1.007406464E3
1.134766840E2,1.007439270E3
1.145412980E2,1.007477646E3
1.156058990E2,1.007521362E3
1.166705400E2,1.007569199E3
1.177352220E2,1.007605133E3
1.187998900E2,1.007633438E3
1.198645340E2,1.007655029E3
1.209291440E2,1.007667007E3
1.219937570E2,1.007676392E3
1.230583760E2,1.007686615E3
1.241230480E2,1.007692719E3
1.251877190E2,1.007694016E3
1.262523430E2,1.007694016E3
1.273169990E2,1.007693634E3
1.283816280E2,1.007687454E3
1.294462620E2,1.007681580E3
1.305109150E2,1.007678833E3
1.315755950E2,1.007673187E3
1.326402200E2,1.007659073E3
1.337048450E2,1.007647858E3
