"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.950337500E-2,9.002148101E-1,4.417893022E-1,-1.276605052E0
4.935737498E-2,4.239684507E-1,3.433069879E-1,-2.352483376E0
6.921137500E-2,6.442620081E-1,6.271059850E-1,-1.970375435E0
8.906637499E-2,1.497994085E0,6.956493858E-1,-1.374310856E0
1.089203750E-1,2.451682559E0,3.771424860E-1,-9.521237594E-1
1.287743750E-1,2.407731670E0,1.217095014E-1,-1.093492477E0
1.486283750E-1,2.186021625E0,-6.443602413E-2,-2.118369048E0
1.684823750E-1,1.360053590E0,-6.148405731E-2,-2.408385097E0
1.883363750E-1,-8.639310828E-1,4.994671145E-1,-3.976983726E-1
2.081913750E-1,6.940279528E-1,1.331863286E0,7.194145167E-1
2.280453750E-1,2.675042104E0,2.703144407E-1,2.146682435E-1
2.478993750E-1,1.019194247E0,-1.280779671E0,1.900789475E-1
2.677533750E-1,-2.116707561E0,-1.765645704E0,-7.492212832E-2
2.876073750E-1,-3.659821978E-1,-7.688039008E-1,2.356018603E-1
3.074613750E-1,1.091561288E0,-5.850814614E-1,-2.485829714E0
3.273163750E-1,7.716700597E-1,-3.881171250E-1,-3.933173463E0
3.471703750E-1,1.995676337E0,7.239616039E-1,-1.908215439E0
3.670243750E-1,2.774456465E0,2.764636943E0,-1.117646155E0
3.868783750E-1,1.016888105E0,2.045148751E0,-9.634948397E-1
4.067323750E-1,1.038496563E0,-1.825034411E-1,1.073311982E0
4.265863750E-1,9.128300317E-1,-1.488222364E0,1.027552841E0
4.464413750E-1,1.058914529E0,-1.423415919E0,-8.283200777E-1
4.662953750E-1,3.111540261E0,-6.815586193E-1,-7.399785894E-1
4.861493750E-1,2.822205997E0,-1.335161993E-1,-2.608776194E-1
5.060033750E-1,1.509032751E0,-4.497897550E-2,1.083942220E0
5.258575417E-1,1.003187494E0,-1.026365564E0,1.823829592E0
5.457115417E-1,-8.655476186E-1,-1.244531174E0,2.940284670E0
5.655655417E-1,-6.358292267E-1,-8.737472422E-1,3.019476435E0
5.854205417E-1,-4.513166823E-1,-1.426640074E0,1.370601967E0
6.052745417E-1,-1.259846932E0,-1.325201115E0,1.645207679E-1
6.251285417E-1,-1.576012899E0,-1.248659600E0,1.197088766E0
6.449825417E-1,-2.131308205E0,-1.515199809E0,3.517728206E0
6.648365417E-1,-1.891181038E0,-1.530208735E0,3.347905768E0
6.846905417E-1,-1.684020474E0,-2.420288712E0,4.564476871E-1
7.045455417E-1,-2.194753418E0,-1.974130517E0,-1.828155363E-1
7.243995417E-1,-2.116496477E0,-1.674058134E0,7.004519963E-1
7.442535417E-1,-1.810396784E0,-2.106326122E0,1.351027243E0
