"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.950337500E-2,-1.288670349E1,3.615245056E1,-4.416244507E0
4.935737498E-2,-1.312031555E1,3.637073135E1,-4.373100281E0
6.921137500E-2,-1.397548676E1,3.644250488E1,-3.780220032E0
8.906637499E-2,-1.437481689E1,3.681983185E1,-4.170684814E0
1.089203750E-1,-1.483731842E1,3.693036652E1,-3.744049072E0
1.287743750E-1,-1.556602478E1,3.715944672E1,-3.443229675E0
1.486283750E-1,-1.645728302E1,3.703907394E1,-3.258705139E0
1.684823750E-1,-1.728439331E1,3.726421356E1,-2.231422424E0
1.883363750E-1,-1.723860168E1,3.755862427E1,-2.352584839E0
2.081913750E-1,-1.781592560E1,3.755249786E1,-1.682563782E0
2.280453750E-1,-1.893703461E1,3.765013504E1,-1.211120605E0
2.478993750E-1,-1.984002686E1,3.757596588E1,-2.788467407E-1
2.677533750E-1,-2.120460510E1,3.720659637E1,2.874069214E-1
2.876073750E-1,-2.223872375E1,3.743164062E1,8.732299805E-1
3.074613750E-1,-2.248532104E1,3.755410004E1,1.839607239E0
3.273163750E-1,-2.244682312E1,3.777704620E1,2.406364441E0
3.471703750E-1,-2.370349884E1,3.829050446E1,3.742797852E0
3.670243750E-1,-2.411927795E1,3.864087677E1,5.975509644E0
3.868783750E-1,-2.493638611E1,3.893383408E1,7.771080017E0
4.067323750E-1,-2.566555023E1,3.921413040E1,1.016451263E1
4.265863750E-1,-2.649185181E1,3.890210724E1,1.277828217E1
4.464413750E-1,-2.688540649E1,3.887109375E1,1.490805817E1
4.662953750E-1,-2.759076691E1,3.809575653E1,1.678917694E1
4.861493750E-1,-2.814604187E1,3.700822067E1,1.944612503E1
5.060033750E-1,-2.781318665E1,3.589567566E1,2.243249512E1
5.258575417E-1,-2.751432037E1,3.439880753E1,2.548008347E1
5.457115417E-1,-2.614533234E1,3.257650757E1,2.784521866E1
5.655655417E-1,-2.466515350E1,3.120453644E1,2.892969131E1
5.854205417E-1,-2.367087555E1,3.044871902E1,2.913861084E1
6.052745417E-1,-2.234255981E1,2.983353043E1,2.896274185E1
6.251285417E-1,-2.057850647E1,2.912685394E1,2.942258453E1
6.449825417E-1,-1.867358398E1,2.825207138E1,2.937044525E1
6.648365417E-1,-1.702214050E1,2.812596130E1,2.889943314E1
6.846905417E-1,-1.570919800E1,2.780227661E1,2.838278580E1
7.045455417E-1,-1.492049408E1,2.752423477E1,2.752479172E1
7.243995417E-1,-1.336328125E1,2.734899521E1,2.708326721E1
7.442535417E-1,-1.115187073E1,2.706328583E1,2.710254669E1
7.641075417E-1,-9.469978333E0,2.636487579E1,2.671670151E1
7.839615417E-1,-7.378669739E0,2.584064865E1,2.674932480E1
8.038165417E-1,-5.453178406E0,2.527274704E1,2.669247055E1
8.236705417E-1,-3.784999847E0,2.465700531E1,2.636468887E1
8.435245417E-1,-2.724388123E0,2.471656036E1,2.607512283E1
8.633785417E-1,-2.510166168E0,2.472987366E1,2.597277069E1
8.832325417E-1,-1.865039825E0,2.476860046E1,2.618740463E1
9.030865417E-1,-2.479019165E-1,2.488091278E1,2.587979126E1
9.229415417E-1,1.454120636E0,2.461034393E1,2.496628952E1
9.427955417E-1,2.250972748E0,2.393419266E1,2.511632156E1
9.626495417E-1,3.516212463E0,2.291027451E1,2.538700104E1
9.825035417E-1,5.443527222E0,2.207283783E1,2.411876678E1
1.002357542E0,7.432460785E0,2.190356445E1,2.301012039E1
1.022211542E0,9.318176270E0,2.198986435E1,2.187436295E1
1.042066542E0,1.059999466E1,2.228701782E1,2.125355530E1
1.061920542E0,1.168200684E1,2.227906036E1,2.094673157E1
1.081774542E0,1.272779083E1,2.227795029E1,2.095147705E1
1.101628542E0,1.308740616E1,2.185238266E1,2.052667236E1
1.121482542E0,1.303898239E1,2.159413528E1,2.098834991E1
1.141337542E0,1.285891342E1,2.136703110E1,2.138649368E1
1.161191542E0,1.303409958E1,2.126943970E1,2.173440933E1
1.181045542E0,1.255544281E1,2.122994995E1,2.161535645E1
1.200899542E0,1.227774811E1,2.114585876E1,2.115612030E1
1.220753542E0,1.171552277E1,2.130090332E1,2.039078522E1
1.240607542E0,1.097825623E1,2.136848450E1,1.941035080E1
1.260462542E0,9.820583344E0,2.095092773E1,1.650861740E1
1.280316542E0,7.669448853E0,2.015754318E1,1.396998596E1
1.300170542E0,6.460613251E0,2.068283463E1,1.333786774E1
1.320024542E0,5.951457977E0,2.043227768E1,1.342733002E1
1.339878542E0,5.964141846E0,2.030618668E1,1.340049744E1
1.359732542E0,6.093265533E0,2.029058838E1,1.294342041E1
1.379587542E0,6.313388824E0,2.053314972E1,1.304544830E1
1.399441542E0,7.082561493E0,2.024893951E1,1.335065460E1
1.419295542E0,7.197299957E0,2.024831772E1,1.357259369E1
1.439149542E0,7.805942535E0,2.039232635E1,1.350390625E1
1.459003542E0,8.176219940E0,2.064048386E1,1.362892151E1
1.478858542E0,8.799327850E0,2.067330551E1,1.435625458E1
1.498712542E0,9.064838409E0,2.032624054E1,1.513996124E1
1.518566875E0,8.855087280E0,2.014538193E1,1.541741943E1
1.538420875E0,8.711551666E0,1.989438248E1,1.570031738E1
1.558274875E0,8.562732697E0,1.979827118E1,1.524697876E1
1.578129875E0,8.569194794E0,1.988837433E1,1.502991486E1
1.597983875E0,8.233757019E0,1.984023285E1,1.520852661E1
1.617837875E0,8.253410339E0,1.985829163E1,1.495759583E1
1.637691875E0,8.183105469E0,2.016296768E1,1.507866669E1
1.657545875E0,8.314392090E0,1.989783478E1,1.485794830E1
1.677399875E0,8.227729797E0,1.974124527E1,1.494155884E1
1.697254875E0,8.342102051E0,1.973984528E1,1.505908203E1
1.717108875E0,8.322120667E0,1.991806030E1,1.478414154E1
1.736962875E0,8.097667694E0,1.993807983E1,1.505442810E1
1.756816875E0,8.049282074E0,1.998129654E1,1.519175720E1
1.776670875E0,8.194087982E0,1.959416199E1,1.518097687E1
1.796525875E0,7.431503296E0,1.964922714E1,1.514295197E1
1.816379875E0,7.713233948E0,1.993236160E1,1.478127289E1
1.836233875E0,7.816768646E0,1.977745819E1,1.488612366E1
1.856087875E0,7.773769379E0,1.965908051E1,1.486711884E1
1.875941875E0,7.714420319E0,1.987625885E1,1.463983917E1
1.895795875E0,7.281208038E0,1.974136353E1,1.474913025E1
1.915650875E0,7.479412079E0,1.986749649E1,1.512078094E1
1.935504875E0,7.451061249E0,1.982966995E1,1.509471130E1
1.955358875E0,7.805515289E0,1.972250748E1,1.520101166E1
1.975212875E0,7.782226562E0,1.976407623E1,1.467183685E1
1.995066875E0,7.623214722E0,1.971244049E1,1.466343689E1
2.014921875E0,7.513633728E0,1.971221161E1,1.425331116E1
2.034775875E0,7.435642242E0,1.980960846E1,1.503128815E1
2.054629875E0,7.405502319E0,1.984704971E1,1.392788696E1
2.074483875E0,7.336788177E0,1.977771759E1,1.439306641E1
2.094337875E0,7.237964630E0,1.987627029E1,1.458622742E1
2.114192875E0,7.459217072E0,1.999596024E1,1.433949280E1
2.134046875E0,7.148910522E0,2.009848785E1,1.398741913E1
2.153900875E0,7.047126770E0,2.008552933E1,1.412871552E1
2.173754875E0,7.387084961E0,1.998992538E1,1.399937439E1
2.193608875E0,7.414115906E0,1.974798203E1,1.421331787E1
2.213462875E0,7.590827942E0,1.989885330E1,1.426976776E1
2.233317875E0,7.625267029E0,1.997261810E1,1.481973267E1
2.253171875E0,8.174488068E0,1.996074295E1,1.471853638E1
2.273025875E0,8.052154541E0,1.984136963E1,1.445918274E1
2.292879875E0,8.624309540E0,1.982778931E1,1.450457764E1
2.312733875E0,8.599826813E0,1.989726639E1,1.493991089E1
2.332588875E0,8.506950378E0,1.997050095E1,1.502759552E1
2.352442875E0,8.630256653E0,2.002881241E1,1.527499390E1
2.372296875E0,8.850482941E0,2.025062561E1,1.540459442E1
2.392150875E0,8.599372864E0,1.982719040E1,1.505692291E1
2.412004875E0,8.521800995E0,2.009646606E1,1.485283661E1
2.431859875E0,8.346839905E0,1.990142059E1,1.487385559E1
2.451713875E0,8.354972839E0,1.994808578E1,1.494732666E1
2.471567875E0,8.223884583E0,2.005327225E1,1.479071045E1
2.491421875E0,8.155017853E0,2.006831741E1,1.485487366E1
2.511275875E0,8.373764038E0,1.972967529E1,1.449776459E1
2.531130625E0,7.996898651E0,1.999020004E1,1.482341003E1
2.550984625E0,8.095386505E0,1.994051743E1,1.489537048E1
2.570838625E0,9.823738098E0,2.032083893E1,1.665142822E1
2.590692625E0,1.029957962E1,2.088921738E1,1.676764679E1
2.610546625E0,1.021877289E1,2.070749283E1,1.682527924E1
2.630401625E0,1.008857727E1,2.069150162E1,1.673962784E1
2.650255625E0,1.022124863E1,2.097969818E1,1.710595322E1
2.670109625E0,1.005707169E1,2.092634201E1,1.718159103E1
2.689963625E0,1.011546326E1,2.076834488E1,1.715798569E1
2.709817625E0,1.030221558E1,2.099248886E1,1.676153183E1
2.729672625E0,9.812110901E0,2.078773117E1,1.719861984E1
2.749526625E0,1.013664246E1,2.072344208E1,1.659630585E1
2.769380625E0,1.016361237E1,2.076471710E1,1.714637375E1
2.789234625E0,1.000739288E1,2.068648148E1,1.697951889E1
2.809088625E0,9.774147034E0,2.065483475E1,1.716282272E1
2.828943625E0,9.563541412E0,2.070302963E1,1.730338287E1
2.848797625E0,9.761318207E0,2.078991699E1,1.721305084E1
2.868651625E0,9.901542664E0,2.070875168E1,1.683278656E1
2.888505625E0,1.000906372E1,2.062076187E1,1.709661865E1
2.908359625E0,1.008344650E1,2.071066284E1,1.699837494E1
2.928214625E0,9.773365021E0,2.076288223E1,1.667598343E1
2.948068625E0,1.008380127E1,2.094654465E1,1.672581100E1
2.967922625E0,9.778060913E0,2.081530380E1,1.703395462E1
2.987776625E0,9.689327240E0,2.075664139E1,1.675325394E1
3.007630625E0,9.756530762E0,2.089854431E1,1.687869263E1
3.027485625E0,1.004599762E1,2.088549805E1,1.676506805E1
3.047339625E0,1.010914993E1,2.123170853E1,1.697362900E1
3.067193625E0,1.002656174E1,2.105453873E1,1.673510361E1
3.087047625E0,1.010210037E1,2.092249298E1,1.703957367E1
3.106901625E0,9.485942841E0,2.093564224E1,1.712322617E1
3.126756625E0,9.865921021E0,2.074028778E1,1.699130630E1
3.146610625E0,9.505989075E0,2.099612045E1,1.679317856E1
3.166464625E0,9.741344452E0,2.072603226E1,1.658015823E1
3.186318625E0,9.665424347E0,2.098509598E1,1.650694275E1
3.206172625E0,9.959426880E0,2.096250534E1,1.632375717E1
3.226027625E0,1.003039551E1,2.114593506E1,1.644375229E1
3.245881625E0,9.882423401E0,2.103622055E1,1.700342178E1
3.265735625E0,9.803314209E0,2.091361618E1,1.719080734E1
3.285589625E0,9.968353271E0,2.078993607E1,1.745079803E1
3.305443625E0,1.019620514E1,2.115607071E1,1.752836609E1
3.325298625E0,9.988243103E0,2.119248962E1,1.760650253E1
3.345152625E0,1.001338959E1,2.103944397E1,1.714053726E1
3.365006625E0,1.001968002E1,2.066623306E1,1.756831360E1
3.384860625E0,1.007792282E1,2.076606750E1,1.726732635E1
3.404715625E0,9.750762939E0,2.059508133E1,1.721894455E1
3.424569625E0,9.750270844E0,2.070188522E1,1.716294098E1
