"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.783304164E-2,-9.118206561E-2,4.884939373E-2,1.269278491E-1
6.789904158E-2,-1.185514203E-1,-7.158746123E-2,3.075313836E-1
8.796504163E-2,-1.803535661E-1,-1.390295389E-1,2.365695745E-1
1.080310417E-1,-3.479452917E-1,-2.200605458E-1,3.287480056E-2
1.280980416E-1,-3.739235938E-1,-2.344748095E-1,-4.904293656E-2
1.481640417E-1,-1.802252197E-1,-3.158002236E-1,-7.779720426E-2
1.682300416E-1,-1.902394536E-1,-2.926309240E-1,-6.856562018E-2
1.882960417E-1,-2.546225604E-1,-2.385392091E-1,-1.374159998E-1
2.083620416E-1,-2.213498569E-1,-1.282294393E-1,-9.625510991E-2
2.284290417E-1,-1.275499928E-1,-1.500781453E-1,6.064790547E-2
2.484950416E-1,-9.981328681E-2,-2.060155338E-1,-5.271674216E-2
2.685610417E-1,-1.070274353E-2,-1.204693070E-1,1.399870205E-1
2.886270416E-1,1.751523216E-1,-8.221886873E-2,3.281790715E-1
3.086930417E-1,1.716898929E-1,-6.057890832E-2,2.655150461E-1
3.287600416E-1,1.110642068E-1,-4.610734195E-2,2.580545837E-1
3.488260417E-1,3.703217089E-2,-3.799491495E-2,1.517293990E-1
3.688920416E-1,-7.624915391E-2,-2.159873754E-2,4.020013386E-1
3.889580417E-1,-7.988787621E-2,-1.199149910E-1,3.855022502E-1
4.090240416E-1,1.941620582E-1,-3.334497517E-1,2.356229103E-1
4.290910417E-1,1.239359750E-1,-2.003662464E-1,2.897271967E-1
4.491572917E-1,1.648737936E-1,1.336424991E-1,5.733534086E-1
4.692232916E-1,7.372210425E-1,-1.132345471E-1,6.323108840E-1
4.892892917E-1,5.051817445E-1,-2.439224482E-2,6.122040635E-1
5.093552916E-1,3.807882249E-1,-2.107044160E-3,5.348524171E-1
5.294212917E-1,5.657032040E-1,-3.863872263E-1,2.011243379E-1
5.494882916E-1,4.352693644E-1,-5.588777491E-1,-3.608381099E-1
5.695542917E-1,3.607045010E-2,-1.854163778E-1,-2.868521208E-1
5.896202916E-1,2.236970754E-1,-1.388143614E-1,-3.236299378E-1
6.096862917E-1,2.749821268E-1,8.270447999E-2,-4.052348489E-1
6.297522916E-1,3.250464258E-1,7.956423283E-2,-5.280328095E-1
6.498192917E-1,1.306903861E-1,4.394884229E-2,-3.122185117E-1
6.698852916E-1,1.572633500E-1,-4.713791370E-2,-3.985169828E-2
6.899512917E-1,-2.276087165E-2,-9.646356314E-2,1.651879352E-1
7.100172916E-1,-5.067372501E-2,-1.940644097E-1,1.756924582E-1
7.300832917E-1,-2.368907328E-1,-1.528079179E-1,8.873617530E-2
7.501502916E-1,-1.963467242E-1,-1.269635171E-1,5.811372221E-2
7.702162917E-1,-7.746552095E-2,-1.925675225E-1,-1.906274164E-1
7.902822916E-1,-1.615211463E-1,1.012044856E-1,-6.018889904E-2
8.103482916E-1,1.264124170E-2,9.802740097E-2,7.245811164E-2
8.304142916E-1,-3.117355317E-2,8.396426260E-2,5.426508486E-2
8.504812917E-1,-5.690963432E-2,-6.110428065E-2,3.489033580E-2
8.705472916E-1,-1.781542821E-1,-4.963204354E-2,4.717358172E-2
8.906132916E-1,-1.328045931E-1,-1.436584872E-1,3.112765253E-2
9.106792916E-1,-2.544632238E-1,-5.506498396E-2,1.679332030E-1
9.307452916E-1,-4.642543048E-2,-1.613129854E-2,2.197559059E-1
9.508122916E-1,1.688675880E-2,2.327133358E-2,2.663371646E-1
9.708782916E-1,9.133526266E-2,-6.012808800E-2,2.279776758E-1
