"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.096874989E-3,-2.538720703E0,4.476141815E0,9.117240601E0
1.775612499E-2,-2.223176880E0,4.283941498E0,8.731642456E0
3.761012500E-2,-2.367177429E0,4.408781891E0,8.517288208E0
5.746412498E-2,-2.209854584E0,4.296515350E0,8.491392059E0
7.731812500E-2,-2.429597626E0,3.816613312E0,8.783434753E0
9.717212501E-2,-2.920726318E0,4.433779907E0,8.102650452E0
1.170261250E-1,-6.189628601E-1,3.569926300E0,8.919052734E0
1.368791250E-1,-2.774779816E0,5.260510712E0,7.981402588E0
1.567331250E-1,-2.939886475E0,4.185895386E0,1.036863831E1
1.765871250E-1,-3.582051086E-1,4.243675232E0,1.077713882E1
1.964411250E-1,-2.095642090E-3,3.400927734E0,9.796677704E0
2.162951250E-1,-1.353036346E0,3.671714630E0,9.423952789E0
2.361481250E-1,-2.615061951E-1,3.401227112E0,9.489815826E0
2.560021250E-1,-7.201524353E-1,3.558100891E0,9.169182587E0
2.758561250E-1,-4.460723877E-1,4.282893677E0,9.718091125E0
2.957101250E-1,3.824546814E-1,4.057312775E0,9.913734283E0
3.155641250E-1,1.256337433E0,3.723057861E0,1.027792694E1
3.354181250E-1,2.135010223E0,3.399281158E0,1.023421783E1
3.552711250E-1,2.187850342E0,3.042572937E0,9.829908600E0
3.751251250E-1,2.439926147E0,-1.660646667E0,1.085886887E1
3.949791250E-1,2.907853088E0,1.659748535E0,7.391329651E0
4.148331250E-1,1.813179474E0,5.032385101E0,9.124575348E0
4.346871250E-1,2.139351196E0,5.748046875E0,9.276060333E0
4.545411250E-1,3.366499329E0,4.444407806E0,8.499774628E0
4.743941250E-1,2.308948517E0,3.256777496E0,6.176455994E0
4.942481250E-1,5.246140594E0,2.327659607E0,6.982978821E0
5.141021250E-1,3.565435638E0,2.797083435E0,7.980803833E0
5.339561250E-1,-3.303630066E-1,4.365222473E0,9.054670715E0
5.538108750E-1,1.576222229E-1,2.564467163E0,1.009575577E1
5.736648750E-1,7.701484680E-1,1.266665955E0,9.515562286E0
5.935178750E-1,1.662742310E0,3.098406830E0,1.079210770E1
6.133718750E-1,1.063688049E0,2.755320282E0,8.511600037E0
6.332258750E-1,1.321751404E0,3.152145081E0,7.351063385E0
6.530798750E-1,3.106639709E0,3.423979797E0,7.939639435E0
6.729338750E-1,4.664599915E0,2.682421875E0,7.616162109E0
6.927868750E-1,3.125500488E0,2.996169434E0,9.898915100E0
7.126408750E-1,2.432142334E0,2.223775635E0,1.149833908E1
7.324948750E-1,2.513872375E0,9.090596008E-1,1.147109573E1
7.523488750E-1,1.814376984E0,3.143912201E0,9.852810974E0
7.722028750E-1,2.708916779E0,5.180127869E0,7.216942291E0
7.920568750E-1,3.057541809E0,3.163222046E0,6.000422058E0
8.119098750E-1,2.373164978E0,7.604187012E-1,7.561076660E0
8.317638750E-1,2.776127014E0,-4.641847229E-1,8.694819031E0
8.516178750E-1,4.181255035E0,1.011895752E0,7.949967957E0
8.714718750E-1,4.267026672E0,2.983296204E0,7.641459503E0
8.913258750E-1,2.995570679E0,2.211800537E0,6.875801697E0
9.111798750E-1,2.997366943E0,1.575473785E0,8.183781738E0
9.310328750E-1,2.384092255E0,1.658251648E0,8.529412994E0
9.508868750E-1,2.180814972E0,1.565744019E0,8.714877319E0
9.707408750E-1,2.283950500E0,2.754272461E-1,9.264085236E0
9.905948750E-1,2.626737671E0,5.403762817E-1,8.851094055E0
1.010448875E0,3.430715790E0,9.190887451E-1,8.473878479E0
1.030301875E0,3.713178406E0,1.022074585E0,9.191186829E0
1.050155875E0,3.199596405E0,6.860234070E-1,9.329648895E0
1.070009875E0,3.583547974E0,5.854325867E-1,8.692723389E0
1.089863875E0,3.786076813E0,8.553213501E-1,8.708141327E0
1.109717875E0,3.504512329E0,8.164022827E-1,8.910071411E0
1.129571875E0,3.887865143E0,1.402583313E0,8.905281372E0
1.149424875E0,4.236789551E0,1.489851837E0,9.076225891E0
1.169278875E0,4.162394257E0,4.465214539E-1,8.964408417E0
1.189132875E0,3.539090424E0,-6.993457031E-1,9.107660522E0
1.208986875E0,3.697161713E0,-1.500180359E0,9.087901611E0
1.228840875E0,3.956272888E0,-1.493594055E0,9.373657379E0
1.248693875E0,4.581672363E0,-2.522254944E-1,8.943002930E0
1.268547875E0,4.923262024E0,-5.923182678E-1,7.951165466E0
1.288401875E0,4.233795776E0,-4.364923096E-1,8.121211853E0
1.308255875E0,4.746030579E0,-1.143023071E0,9.322463837E0
1.328109875E0,4.042493591E0,-1.156944122E0,1.016326538E1
1.347963875E0,3.675007782E0,-1.046324158E-1,9.660011902E0
