"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.126858336E-2,-2.234702911E0,4.684059448E0,9.811646576E0
3.133558331E-2,-1.725162506E0,4.284540253E0,1.073028625E1
5.140158336E-2,-1.765279083E0,4.050127716E0,1.084464844E1
7.146858331E-2,-1.328637085E0,3.850442963E0,1.096694412E1
9.153558337E-2,-5.041516113E-1,3.797902222E0,1.180430283E1
1.116025833E-1,-1.419049072E-1,3.436703339E0,1.262055542E1
1.316695834E-1,-8.403524780E-1,2.833607483E0,1.370295456E1
1.517355833E-1,-1.477577362E0,1.680405579E0,1.389844803E1
1.718025834E-1,-1.548978882E0,5.903723145E-1,1.284613632E1
1.918695833E-1,-1.462907867E0,4.162843323E-1,1.091021210E1
2.119365834E-1,-1.365759888E0,1.083896027E0,9.696236572E0
2.320035833E-1,-7.206015015E-1,1.331181793E0,9.121581573E0
2.520695834E-1,-2.230361938E-2,1.600771179E0,8.841064911E0
2.721365833E-1,1.827699280E-1,1.678759003E0,8.584049377E0
2.922035834E-1,-3.263214111E-2,1.887574768E0,8.431815948E0
3.122705834E-1,-3.071612549E-1,1.978435822E0,8.336164856E0
3.323365833E-1,-4.288581848E-1,1.957629089E0,8.259524231E0
3.524035834E-1,-5.580395508E-1,1.859732666E0,7.868387604E0
3.724705833E-1,-5.950126648E-1,1.614392853E0,7.284451904E0
3.925375834E-1,-7.699987793E-1,1.453178101E0,6.940317535E0
4.126045833E-1,-9.756710815E-1,1.533411255E0,6.953340454E0
4.326705834E-1,-9.355545044E-1,1.600920868E0,7.262747040E0
4.527375833E-1,-6.968009949E-1,1.377285919E0,7.803422699E0
4.728045834E-1,-6.737489319E-1,1.130598907E0,8.606652374E0
4.928715833E-1,-6.007008362E-1,1.090332642E0,9.383087769E0
5.129385834E-1,-1.213227081E0,1.595232697E0,9.993668060E0
5.330045833E-1,-4.037104797E-1,6.973997498E-1,1.062475571E1
5.530715834E-1,2.742297363E-1,-2.170486450E-2,1.089509354E1
5.731385833E-1,-5.553451538E-2,6.213578796E-1,1.108579697E1
5.932055834E-1,-6.750961304E-1,1.717678070E0,1.120195541E1
6.132725833E-1,-4.457730103E-1,2.021995239E0,1.117291580E1
6.333385834E-1,-2.737806702E-1,2.104324036E0,1.082698517E1
6.534055833E-1,-4.227209473E-1,2.383343811E0,1.072609497E1
6.734725833E-1,-2.404000854E-1,2.501448212E0,1.084734283E1
6.935395834E-1,-1.366658020E-1,2.347717896E0,1.131242569E1
7.136055833E-1,-3.811074829E-1,1.957329712E0,1.218002151E1
7.336725834E-1,-5.637277222E-1,1.166524200E0,1.262519577E1
7.537395833E-1,-6.484515381E-1,7.945477295E-1,1.214963470E1
7.738065834E-1,-1.380130005E0,1.103654938E0,1.146959885E1
7.938735833E-1,-1.518741760E0,7.027885437E-1,9.899663544E0
8.139395834E-1,-1.593586121E0,2.700384521E-1,8.263865204E0
8.340065833E-1,-1.074315948E0,-1.179547119E-1,7.693551178E0
8.540735834E-1,-3.866459656E-1,-5.538482666E-2,7.718549194E0
8.741403751E-1,-8.303233337E-1,4.635859680E-1,8.338859253E0
8.942073750E-1,-1.496587830E0,1.294957123E0,9.167386322E0
9.142733751E-1,-1.291813660E0,7.744894409E-1,9.423354034E0
9.343403750E-1,-1.180594940E0,1.652563477E-1,9.576635284E0
9.544073751E-1,-1.268312531E0,-7.813751221E-2,9.360634460E0
9.744743750E-1,-1.262774048E0,-1.378633118E-1,8.559650116E0
9.945413750E-1,-1.375489655E0,2.583627319E-1,7.867788849E0
1.014607375E0,-1.553020477E0,8.044271851E-1,7.443121948E0
1.034674375E0,-1.457818451E0,1.101858673E0,7.197782135E0
1.054741375E0,-1.408720551E0,1.429078217E0,7.743846588E0
1.074808375E0,-1.457818451E0,1.592238922E0,8.021519165E0
1.094874375E0,-1.314117279E0,1.403331757E0,8.108937378E0
1.114941375E0,-1.338965607E0,1.423390045E0,8.280181274E0
1.135008375E0,-1.833537140E0,1.791474609E0,8.683742065E0
1.155075375E0,-2.411784668E0,2.091899872E0,9.309291229E0
1.175142375E0,-2.290387115E0,2.007026367E0,1.005818390E1
1.195208375E0,-2.035167847E0,1.671723633E0,1.082758392E1
1.215275375E0,-2.205663300E0,1.219514008E0,1.173724228E1
1.235342375E0,-1.711690521E0,6.749464417E-1,1.246008911E1
1.255409375E0,-1.247805176E0,4.299060059E-1,1.350850891E1
1.275476375E0,-1.170116730E0,1.116677856E-1,1.448343155E1
1.295542375E0,-1.399589539E0,-9.868977356E-1,1.449510727E1
1.315609375E0,-1.949246521E0,-1.855092316E0,1.359907059E1
1.335676375E0,-2.137554932E0,-2.241738281E0,1.229453339E1
1.355743375E0,-2.189496918E0,-2.013462982E0,1.070693481E1
1.375809375E0,-1.687740326E0,-1.502874756E0,9.398805084E0
1.395876375E0,-9.940827942E-1,-9.074130249E-1,8.486452332E0
1.415943375E0,-8.262817383E-1,-1.351689148E-1,7.880512390E0
