"Time (s)","X (hPa)"
-5.434549167E-1,1.006109390E3
4.883200834E-1,1.006114807E3
1.520084083E0,1.006120300E3
2.551853083E0,1.006128006E3
3.583584083E0,1.006129150E3
3.777257083E0,1.006133270E3
4.842362083E0,1.006138992E3
5.907433083E0,1.006149902E3
6.972519083E0,1.006158447E3
8.037598083E0,1.006172028E3
9.102689083E0,1.006182938E3
1.016771508E1,1.006191559E3
1.123275908E1,1.006192017E3
1.229787808E1,1.006191559E3
1.336297508E1,1.006193390E3
1.442808308E1,1.006191406E3
1.549315908E1,1.006188202E3
1.655826908E1,1.006180801E3
1.762342408E1,1.006165695E3
1.868854108E1,1.006156387E3
1.975367708E1,1.006149445E3
2.081875608E1,1.006149445E3
2.188388108E1,1.006153641E3
2.294893708E1,1.006170197E3
2.401402208E1,1.006184235E3
2.507907808E1,1.006190033E3
2.614412608E1,1.006190033E3
2.720921508E1,1.006184769E3
2.827420408E1,1.006179733E3
2.933916708E1,1.006164551E3
3.040412008E1,1.006164398E3
3.146908808E1,1.006164551E3
3.253408808E1,1.006173248E3
3.359912008E1,1.006176834E3
3.466409508E1,1.006176834E3
3.572911908E1,1.006175537E3
3.679416808E1,1.006174774E3
3.785920408E1,1.006164017E3
3.892420008E1,1.006157913E3
3.998920608E1,1.006154327E3
4.105416808E1,1.006150665E3
4.211917508E1,1.006150665E3
4.318415808E1,1.006156769E3
4.424913108E1,1.006167145E3
4.531415908E1,1.006174088E3
4.637923508E1,1.006181488E3
4.744430808E1,1.006185913E3
4.850934508E1,1.006187973E3
4.957439108E1,1.006188354E3
5.063942908E1,1.006188354E3
5.170446308E1,1.006189423E3
5.276954908E1,1.006189423E3
5.383465808E1,1.006189423E3
5.489972508E1,1.006193085E3
5.596472808E1,1.006195297E3
5.702976208E1,1.006196365E3
5.809484808E1,1.006197433E3
5.915992908E1,1.006207504E3
6.022498908E1,1.006215744E3
6.129009308E1,1.006219177E3
6.235514508E1,1.006227188E3
6.342023308E1,1.006229935E3
6.448531408E1,1.006229935E3
6.555039008E1,1.006229935E3
6.661538508E1,1.006235504E3
6.768039008E1,1.006239319E3
6.874539308E1,1.006242065E3
6.981033908E1,1.006243744E3
7.087532908E1,1.006243744E3
7.194027708E1,1.006238251E3
7.300523408E1,1.006229248E3
7.407021508E1,1.006215744E3
7.513520108E1,1.006210327E3
7.620017108E1,1.006201248E3
7.726515408E1,1.006195755E3
7.833019508E1,1.006191711E3
7.939524908E1,1.006186142E3
8.046027908E1,1.006183548E3
8.152531808E1,1.006183548E3
8.259042708E1,1.006183319E3
8.365550808E1,1.006186905E3
8.472056608E1,1.006195984E3
8.578561208E1,1.006204147E3
8.685063508E1,1.006208649E3
8.791570808E1,1.006221008E3
8.898073608E1,1.006231918E3
9.004567308E1,1.006231918E3
9.111071108E1,1.006226883E3
9.217576908E1,1.006225891E3
9.324082608E1,1.006215744E3
9.430591608E1,1.006209717E3
9.537098808E1,1.006209717E3
9.643609008E1,1.006213684E3
9.750121708E1,1.006213913E3
9.856629108E1,1.006223526E3
9.963139308E1,1.006228180E3
1.006964971E2,1.006228180E3
1.017615401E2,1.006226654E3
1.028266371E2,1.006216965E3
1.038915971E2,1.006207809E3
1.049565911E2,1.006193237E3
1.060215991E2,1.006188583E3
1.070866741E2,1.006185303E3
1.081517491E2,1.006185303E3
1.092168461E2,1.006192551E3
1.102818751E2,1.006202850E3
1.113468461E2,1.006212387E3
1.124118271E2,1.006225433E3
1.134768391E2,1.006232758E3
