"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.377758337E-2,-4.874961853E0,-3.944488525E0,-5.026063538E1
3.384358331E-2,-5.798446655E0,-3.657455444E0,-5.036822510E1
5.391058337E-2,-6.317018509E0,-3.112228394E0,-5.000743103E1
7.397758332E-2,-6.750148773E0,-2.664295197E0,-5.015267944E1
9.404458338E-2,-7.147033691E0,-1.877998352E0,-5.002694702E1
1.141105833E-1,-7.618059158E0,-1.083633423E0,-4.998042297E1
1.341775834E-1,-8.337812424E0,-2.422180176E-1,-4.999700928E1
1.542445833E-1,-8.661006927E0,3.900451660E-1,-4.988758850E1
1.743115834E-1,-8.739686966E0,8.188552856E-1,-4.955267334E1
1.943785833E-1,-8.047160149E0,1.379989624E0,-4.986904907E1
2.144445834E-1,-7.452977180E0,1.629310608E0,-4.997906494E1
2.345115833E-1,-7.352823734E0,1.708663940E0,-4.993896484E1
2.545785833E-1,-7.441812038E0,2.009941101E0,-4.953959656E1
2.746455834E-1,-7.939755917E0,2.127586365E0,-4.999252319E1
2.947125833E-1,-8.355021477E0,2.014533997E0,-4.956571960E1
3.147785834E-1,-9.212073326E0,2.427169800E0,-4.950375366E1
3.348455833E-1,-9.644373894E0,2.697753906E0,-4.941955566E1
3.549125834E-1,-9.923432350E0,3.444076538E0,-4.925144958E1
3.749795833E-1,-1.014810181E1,4.186431885E0,-4.895799255E1
3.950465834E-1,-1.025925255E1,5.847396851E0,-4.913365173E1
4.151125833E-1,-1.024970245E1,7.044311523E0,-4.857379150E1
4.351795834E-1,-1.062235641E1,8.197334290E0,-4.808958435E1
4.552465833E-1,-1.066935158E1,9.625755310E0,-4.830538940E1
4.753135834E-1,-1.132000923E1,1.088232422E1,-4.753460693E1
4.953795833E-1,-1.208703423E1,1.194771576E1,-4.728065491E1
5.154465834E-1,-1.208187103E1,1.212189484E1,-4.699813843E1
5.355135833E-1,-1.189269829E1,1.182764435E1,-4.701625061E1
5.555805834E-1,-1.151973248E1,1.185610962E1,-4.766377258E1
5.756475833E-1,-1.134906769E1,1.110116577E1,-4.737608337E1
5.957135834E-1,-1.147233105E1,9.995491028E0,-4.772457886E1
6.157805833E-1,-1.134511089E1,8.931282043E0,-4.822576904E1
6.358475833E-1,-1.123913002E1,7.577095032E0,-4.830599976E1
6.559145834E-1,-1.144175243E1,6.390823364E0,-4.862736511E1
6.759815833E-1,-1.157809734E1,5.786872864E0,-4.814874268E1
6.960475834E-1,-1.189151955E1,5.731925964E0,-4.824479675E1
7.161145833E-1,-1.269576263E1,5.786018372E0,-4.823326111E1
7.361815834E-1,-1.348166943E1,6.125381470E0,-4.808612061E1
7.562485833E-1,-1.349697018E1,6.292587280E0,-4.812405396E1
7.763155834E-1,-1.316991520E1,6.604919434E0,-4.853401184E1
7.963815833E-1,-1.153509903E1,7.325630188E0,-4.869093323E1
8.164485834E-1,-9.761382103E0,7.972511292E0,-4.905041504E1
8.365155833E-1,-7.733855724E0,8.263542175E0,-4.880152893E1
8.565825834E-1,-6.425432205E0,8.963157654E0,-4.890507507E1
8.766483751E-1,-6.215153694E0,9.316757202E0,-4.878497314E1
8.967153750E-1,-6.903181553E0,9.668792725E0,-4.858578491E1
9.167823750E-1,-7.752927303E0,9.637504578E0,-4.894802856E1
9.368493750E-1,-8.678249359E0,9.492942810E0,-4.840081787E1
9.569163750E-1,-8.848278046E0,1.025566101E1,-4.842807007E1
9.769823750E-1,-8.608627319E0,1.049240112E1,-4.831471252E1
9.970493750E-1,-7.415359974E0,1.091828156E1,-4.828579712E1
1.017116375E0,-6.269554138E0,1.173772430E1,-4.822364807E1
1.037183375E0,-5.327652931E0,1.243087769E1,-4.824266052E1
1.057250375E0,-4.940888405E0,1.276007080E1,-4.800871277E1
1.077316375E0,-4.531652451E0,1.266938019E1,-4.782823181E1
1.097383375E0,-4.639139175E0,1.266107178E1,-4.785005188E1
1.117450375E0,-3.997385979E0,1.300093842E1,-4.775495911E1
1.137517375E0,-3.489936829E0,1.300346375E1,-4.771958923E1
1.157584375E0,-2.933087349E0,1.289917755E1,-4.771948242E1
1.177650375E0,-2.887832642E0,1.324069214E1,-4.726919556E1
1.197717375E0,-3.234983444E0,1.341360474E1,-4.729519653E1
1.217784375E0,-4.073904037E0,1.395886993E1,-4.734796143E1
1.237851375E0,-4.616474152E0,1.408325958E1,-4.716537476E1
1.257917375E0,-4.999958992E0,1.461357880E1,-4.720295715E1
1.277984375E0,-5.417514801E0,1.529161835E1,-4.693504333E1
1.298051375E0,-5.943524361E0,1.600849915E1,-4.640426636E1
1.318118375E0,-5.873285294E0,1.662557220E1,-4.650033569E1
1.338185375E0,-4.958742142E0,1.683533478E1,-4.626535034E1
1.358251375E0,-3.843589783E0,1.674975586E1,-4.648101807E1
1.378318375E0,-2.625500679E0,1.666718292E1,-4.637989807E1
1.398385375E0,-2.119150162E0,1.565184784E1,-4.688919067E1
1.418452375E0,-1.953552246E0,1.512487793E1,-4.699600220E1
1.438519375E0,-1.855055809E0,1.479352570E1,-4.708503723E1
1.458585375E0,-2.603876114E0,1.445747375E1,-4.696514893E1
1.478652375E0,-3.591187477E0,1.469145966E1,-4.717330933E1
1.498719375E0,-4.237347603E0,1.418852997E1,-4.688038635E1
1.518786375E0,-4.518218994E0,1.422529602E1,-4.679519653E1
1.538852375E0,-4.073165894E0,1.419585419E1,-4.754824829E1
1.558919375E0,-4.029060364E0,1.391786194E1,-4.699320984E1
1.578986375E0,-3.879484177E0,1.339045715E1,-4.737930298E1
1.599053375E0,-4.734150887E0,1.298366547E1,-4.775932312E1
1.619120375E0,-5.674435616E0,1.270983124E1,-4.809167480E1
1.639186375E0,-6.956332207E0,1.232365417E1,-4.796572876E1
1.659253375E0,-7.600108624E0,1.188770294E1,-4.746948242E1
1.679320375E0,-8.246718407E0,1.176345062E1,-4.757073975E1
1.699387375E0,-8.329822540E0,1.121804047E1,-4.776016235E1
1.719454375E0,-8.600938797E0,1.048898315E1,-4.736314392E1
1.739520375E0,-8.805987358E0,1.011125946E1,-4.790148926E1
1.759587375E0,-9.426797867E0,9.906936646E0,-4.819477844E1
1.779654375E0,-9.552018166E0,9.343902588E0,-4.808653259E1
1.799721375E0,-9.738718033E0,8.842178345E0,-4.826148987E1
1.819787375E0,-9.473270416E0,8.815017700E0,-4.843321228E1
1.839854375E0,-9.980365753E0,9.029067993E0,-4.815325928E1
1.859921375E0,-1.079573536E1,9.027763367E0,-4.770904541E1
1.879988708E0,-1.150681019E1,8.738464355E0,-4.809814453E1
1.900055708E0,-1.192295265E1,8.286193848E0,-4.813517761E1
1.920121708E0,-1.157247734E1,7.987731934E0,-4.803007507E1
1.940188708E0,-1.109219551E1,7.884796143E0,-4.797860718E1
1.960255708E0,-1.033475304E1,7.863090515E0,-4.821649170E1
1.980322708E0,-9.489846230E0,7.953247070E0,-4.836764526E1
2.000389708E0,-9.346414566E0,8.680130005E0,-4.788391113E1
2.020455708E0,-9.834658623E0,9.117164612E0,-4.759191895E1
2.040522708E0,-1.044309616E1,9.229064941E0,-4.779589844E1
2.060589708E0,-1.052665710E1,9.732521057E0,-4.779367065E1
2.080656708E0,-1.033701134E1,1.004083252E1,-4.761959839E1
2.100722708E0,-1.009825516E1,1.019212341E1,-4.744526672E1
2.120789708E0,-1.018154716E1,1.046070862E1,-4.718142700E1
2.140856708E0,-1.050715542E1,1.072476196E1,-4.733689880E1
2.160923708E0,-1.068137455E1,1.082487488E1,-4.730059814E1
2.180990708E0,-1.074918175E1,1.061128998E1,-4.745034790E1
2.201056708E0,-1.093026066E1,1.037795258E1,-4.751283264E1
2.221123708E0,-1.074050140E1,1.021293640E1,-4.737873840E1
2.241190708E0,-1.084297371E1,9.823478699E0,-4.776872253E1
2.261257708E0,-1.115172863E1,9.633781433E0,-4.788519287E1
2.281324708E0,-1.169983959E1,9.208236694E0,-4.793679810E1
2.301390708E0,-1.230747223E1,8.709236145E0,-4.758244324E1
2.321457708E0,-1.292679024E1,8.284179688E0,-4.762197876E1
2.341524708E0,-1.331193447E1,7.667236328E0,-4.748263550E1
2.361591708E0,-1.323832703E1,7.021606445E0,-4.768905640E1
2.381657708E0,-1.331217957E1,7.180870056E0,-4.762355042E1
2.401724708E0,-1.373707771E1,7.460678101E0,-4.771177673E1
2.421791708E0,-1.378158951E1,7.905441284E0,-4.762016296E1
2.441858708E0,-1.390143681E1,8.322410583E0,-4.719801331E1
2.461925708E0,-1.362837696E1,8.755310059E0,-4.754945374E1
2.481991708E0,-1.323747063E1,8.802001953E0,-4.737898254E1
2.502058708E0,-1.283929920E1,8.808746338E0,-4.802539062E1
2.522125708E0,-1.284796143E1,8.543304443E0,-4.779025269E1
2.542192708E0,-1.301564121E1,8.205169678E0,-4.766091919E1
2.562258708E0,-1.348919296E1,7.948455811E0,-4.761460876E1
2.582325708E0,-1.443002129E1,8.251548767E0,-4.760771179E1
2.602392708E0,-1.462954140E1,7.969543457E0,-4.734927368E1
2.622459708E0,-1.428821182E1,7.547607422E0,-4.728013611E1
2.642526708E0,-1.405373287E1,7.686996460E0,-4.734475708E1
2.662592708E0,-1.360898304E1,8.046501160E0,-4.747129822E1
2.682659708E0,-1.313545132E1,8.140541077E0,-4.720046997E1
