"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.488424301E-1,5.232588728E1,4.972418911E0,-1.573049000E0,1.182536845E0,3.819390340E1,4.707445834E0,3.944582213E0
1.548841953E0,5.232589468E1,4.972428566E0,-1.600064021E0,1.173863886E0,3.663140867E1,4.657624094E0,4.095477407E0
2.548840880E0,5.232590350E1,4.972436369E0,-1.602935768E0,1.132856089E0,3.283219004E1,4.619817918E0,3.970381809E0
3.548839927E0,5.232591193E1,4.972446422E0,-1.555655171E0,1.132983115E0,3.446500391E1,4.585912019E0,3.925995046E0
4.548839092E0,5.232592078E1,4.972455633E0,-1.649036651E0,1.152660547E0,3.339859916E1,4.580102757E0,4.000069272E0
5.548837781E0,5.232592826E1,4.972467679E0,-1.772089117E0,1.193003445E0,3.654207644E1,4.600956783E0,3.925724604E0
6.548836350E0,5.232593421E1,4.972479818E0,-1.617220350E0,1.084102623E0,4.230450840E1,4.594644315E0,4.065206069E0
7.548892975E0,5.232593953E1,4.972485348E0,-1.908942986E0,8.411498058E-1,3.103401042E1,4.586489988E0,3.998725737E0
8.548895597E0,5.232594635E1,4.972494513E0,-1.980782432E0,8.876416038E-1,2.629647252E1,4.574448689E0,3.909512197E0
9.548896909E0,5.232595321E1,4.972502561E0,-1.924578542E0,9.469668575E-1,3.002406953E1,4.717375820E0,3.337214134E0
1.054889619E1,5.232595985E1,4.972510176E0,-1.910432243E0,9.022147854E-1,3.180269865E1,4.762742067E0,3.625890556E0
1.154890227E1,5.232596773E1,4.972524085E0,-2.068535079E0,1.171750696E0,3.697057029E1,4.936159163E0,3.546831070E0
1.254890573E1,5.232598045E1,4.972542843E0,-2.200849949E0,1.761462331E0,3.654717357E1,4.925360224E0,3.321050500E0
1.354891074E1,5.232598975E1,4.972559264E0,-2.541836524E0,1.470496594E0,4.023832393E1,5.024233702E0,3.295543369E0
1.454890752E1,5.232600630E1,4.972596536E0,-2.192779984E0,2.306821651E0,4.570116177E1,4.988617190E0,3.000000000E0
1.554890835E1,5.232600771E1,4.972611121E0,-1.070590825E0,1.458907473E0,5.202635032E1,5.094020714E0,3.000000000E0
1.654891491E1,5.232602874E1,4.972656015E0,-1.241024818E0,2.587784667E0,5.124760934E1,5.041934200E0,3.000000000E0
1.754891491E1,5.232603400E1,4.972667646E0,-1.720172097E0,1.584606738E0,5.424717166E1,5.067092815E0,3.000000000E0
1.854891622E1,5.232604082E1,4.972725282E0,-9.927642066E-1,2.667794200E0,6.845170929E1,4.962430077E0,3.074781350E0
1.954891551E1,5.232604334E1,4.972749783E0,-1.168851888E0,1.605825839E0,6.954089619E1,4.945391400E0,3.423968872E0
2.054892027E1,5.232604831E1,4.972812217E0,-2.049079766E0,2.931174914E0,7.753760904E1,4.877340657E0,3.348936345E0
2.154892278E1,5.232604900E1,4.972845365E0,-2.455867308E0,2.552227921E0,8.495537663E1,4.818146455E0,3.214657726E0
2.254892504E1,5.232605972E1,4.972900755E0,-1.716013542E0,3.043060292E0,8.509701298E1,4.753792035E0,3.318998405E0
2.354892862E1,5.232607172E1,4.972951314E0,-1.907006070E0,3.220501153E0,7.630309593E1,4.694256861E0,3.332508406E0
2.454892957E1,5.232608195E1,4.972996077E0,-2.454853944E0,3.182184220E0,7.684395517E1,4.652627170E0,3.347120824E0
2.554893136E1,5.232609242E1,4.973049624E0,-2.599017289E0,3.356396253E0,7.502215230E1,4.649758743E0,3.290146225E0
2.654893363E1,5.232611165E1,4.973084029E0,-3.661403144E0,3.026314793E0,6.433719454E1,4.665827019E0,3.287932220E0
2.754893529E1,5.232611779E1,4.973128510E0,-3.340320655E0,2.936229756E0,6.950304882E1,4.617440677E0,3.437037357E0
2.854893625E1,5.232613513E1,4.973174144E0,-2.406323898E0,3.199790337E0,6.463201487E1,4.659253147E0,3.412287647E0
2.954893744E1,5.232614863E1,4.973215527E0,-2.471788587E0,3.128472852E0,6.328489619E1,4.641381536E0,3.443913445E0
3.054893911E1,5.232616189E1,4.973262624E0,-2.644589947E0,3.076123181E0,6.101632857E1,4.650065681E0,3.531364461E0
3.154894018E1,5.232617814E1,4.973312459E0,-1.757747354E0,3.240614681E0,6.133481954E1,4.616446149E0,3.412868188E0
3.254894137E1,5.232619472E1,4.973354059E0,-2.576392916E0,3.168791646E0,5.902090994E1,4.596215155E0,3.456326304E0
3.354894209E1,5.232620527E1,4.973407327E0,-2.709682839E0,3.288298300E0,6.350712334E1,4.560943444E0,3.432374990E0
3.454894245E1,5.232622393E1,4.973452568E0,-1.921578879E0,3.260819677E0,6.143929245E1,4.549483488E0,3.235121308E0
3.554894233E1,5.232624792E1,4.973487603E0,-2.074317002E0,3.079395037E0,5.301206949E1,4.484339556E0,3.043549501E0
3.654894292E1,5.232627586E1,4.973515301E0,-1.730819452E0,3.179429339E0,3.927802453E1,4.476402765E0,3.122924326E0
3.754894376E1,5.232630097E1,4.973534396E0,-1.692608616E0,2.994312274E0,3.374833214E1,4.521823136E0,3.142987203E0
3.854894435E1,5.232633092E1,4.973553954E0,-1.894918198E0,3.107303494E0,2.729696035E1,4.534784026E0,3.220804986E0
3.954894471E1,5.232636334E1,4.973576906E0,-1.602981362E0,3.379957628E0,2.473858270E1,4.534970984E0,3.201278713E0
4.054894507E1,5.232639319E1,4.973593457E0,-1.711223302E0,3.352222308E0,2.258148287E1,4.545261925E0,3.210254155E0
4.154894459E1,5.232641453E1,4.973625607E0,-1.598974563E0,3.147144304E0,2.721756477E1,4.589183701E0,3.221287042E0
4.254894471E1,5.232644408E1,4.973641736E0,-2.051622297E0,3.208273670E0,2.431604936E1,4.676333293E0,3.375878679E0
4.354894519E1,5.232646451E1,4.973673011E0,-1.685683860E0,3.026904194E0,3.128990127E1,4.646250416E0,3.529161336E0
4.454894447E1,5.232649383E1,4.973705491E0,-1.718952140E0,3.334693126E0,3.359813748E1,4.642137905E0,3.626625443E0
