"Time (s)","X (hPa)"
-5.600219167E-1,1.016035080E3
4.443650833E-1,1.016035156E3
1.448800083E0,1.016035233E3
2.453221083E0,1.016044235E3
3.457612083E0,1.016050568E3
3.810316083E0,1.016056366E3
4.881617083E0,1.016056900E3
5.952930083E0,1.016056747E3
7.024242083E0,1.016056747E3
8.095535083E0,1.016048660E3
9.166828083E0,1.016039124E3
1.023814008E1,1.016028137E3
1.130943308E1,1.016015701E3
1.238074508E1,1.016010666E3
1.345205308E1,1.016010284E3
1.452339508E1,1.016009903E3
1.559473708E1,1.016009903E3
1.666605608E1,1.016011581E3
1.773736308E1,1.016013641E3
1.880870908E1,1.016013641E3
1.988002108E1,1.015998764E3
2.095133508E1,1.015973053E3
2.202263808E1,1.015946960E3
2.309394708E1,1.015920334E3
2.416527308E1,1.015893173E3
2.523656708E1,1.015885391E3
2.630785508E1,1.015885391E3
2.737916308E1,1.015892410E3
2.845049908E1,1.015901031E3
2.952183108E1,1.015909882E3
3.059319808E1,1.015917816E3
3.166453408E1,1.015919952E3
3.273588808E1,1.015919952E3
3.380724108E1,1.015916290E3
3.487859408E1,1.015911331E3
3.594991308E1,1.015904770E3
3.702125208E1,1.015897827E3
3.809260108E1,1.015889053E3
3.916388908E1,1.015879593E3
4.023524208E1,1.015879288E3
4.130664708E1,1.015879288E3
4.237801408E1,1.015886688E3
4.344932508E1,1.015902863E3
4.452061408E1,1.015923920E3
4.559191308E1,1.015943909E3
4.666327708E1,1.015970230E3
4.773462108E1,1.015992126E3
4.880595808E1,1.016008453E3
4.987728308E1,1.016022720E3
5.094863908E1,1.016032410E3
5.201999908E1,1.016036987E3
5.309134708E1,1.016043396E3
5.416271308E1,1.016054688E3
5.523409308E1,1.016066437E3
5.630548708E1,1.016079941E3
5.737684008E1,1.016091156E3
5.844823508E1,1.016101456E3
5.951964008E1,1.016111298E3
6.059105408E1,1.016118546E3
6.166244308E1,1.016123734E3
6.273381208E1,1.016130219E3
6.380524108E1,1.016139069E3
6.487669408E1,1.016144257E3
6.594812708E1,1.016145859E3
6.701952008E1,1.016149597E3
6.809091608E1,1.016152420E3
6.916230508E1,1.016159363E3
7.023372008E1,1.016164856E3
7.130512208E1,1.016169281E3
7.237649808E1,1.016172180E3
7.344789508E1,1.016172180E3
7.451925908E1,1.016170197E3
7.559062608E1,1.016167297E3
7.666199108E1,1.016167297E3
7.773336308E1,1.016172333E3
7.880474108E1,1.016174850E3
7.987609108E1,1.016178131E3
8.094745008E1,1.016181183E3
8.201879208E1,1.016181183E3
8.309014908E1,1.016168442E3
8.416150608E1,1.016151123E3
8.523284408E1,1.016134338E3
8.630414808E1,1.016114731E3
8.737546608E1,1.016097717E3
8.844680808E1,1.016090088E3
8.951812308E1,1.016088943E3
9.058945508E1,1.016081390E3
9.166072008E1,1.016070862E3
9.273202708E1,1.016068573E3
9.380339108E1,1.016066742E3
9.487472608E1,1.016066742E3
9.594606108E1,1.016074982E3
9.701742408E1,1.016087112E3
9.808879308E1,1.016093903E3
9.916018408E1,1.016099701E3
1.002315421E2,1.016101837E3
1.013029141E2,1.016102066E3
1.023742711E2,1.016102066E3
1.034456331E2,1.016106339E3
1.045169491E2,1.016108627E3
1.055882841E2,1.016109848E3
