"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.339645832E-2,-1.040248901E-2,2.022774088E-1,-1.787589719E0
3.345345831E-2,-3.391493252E-1,5.053046823E-2,-4.578504342E-1
5.351145833E-2,2.303919911E-2,-2.154663885E-1,8.925277680E-1
7.356845832E-2,4.919087112E-2,-3.224096239E-1,1.186792989E0
9.362545831E-2,2.574096358E-1,-1.818010443E-1,1.496688402E-1
1.136824583E-1,1.905323991E-1,2.746875733E-1,-8.692400622E-1
1.337394583E-1,3.597908735E-2,7.850997984E-2,-4.756411725E-1
1.537964583E-1,-2.037883294E-1,-1.328797299E-1,2.247868502E-1
1.738534583E-1,-3.350156361E-1,-2.793285084E-1,3.167208678E-1
1.939104583E-1,-3.015759945E-1,-2.209370434E-1,3.503803647E-1
2.139674583E-1,1.445811778E-2,1.475006926E-1,2.972607493E-2
2.340244583E-1,1.558069548E-1,2.716891211E-1,-3.197187352E-1
2.540824583E-1,1.813671809E-1,3.216629344E-1,-2.998329395E-1
2.741394583E-1,1.886203596E-1,1.691967863E-1,-1.847451174E-1
2.941964583E-1,2.382260907E-1,7.003444076E-2,-2.334594405E-1
3.142534583E-1,8.981060117E-2,1.402285105E-1,-2.814487088E-1
3.343104583E-1,7.842694938E-2,5.353418291E-2,-4.412817639E-1
3.543674583E-1,2.170387048E-1,1.431006628E-1,-2.372694862E-1
3.744244583E-1,9.427845865E-2,1.385521138E-1,4.094220400E-2
3.944814583E-1,-1.012077016E-1,-1.919231594E-2,9.840279222E-2
4.145384583E-1,-7.638188571E-2,-1.446016431E-3,-1.385643929E-1
4.345964583E-1,-2.230870646E-1,1.615135449E-1,-4.488322735E-1
4.546534583E-1,-1.183309802E-1,1.219618088E-1,-5.367989552E-1
4.747104583E-1,1.892919123E-2,1.279873645E-1,-2.359614640E-1
4.947674583E-1,2.289272636E-2,-9.230005324E-2,1.920517981E-1
5.148244583E-1,1.941225895E-1,1.166922981E-1,6.102961171E-1
5.348814583E-1,1.349765414E-1,1.193238375E-1,7.961124444E-1
5.549384583E-1,1.345681134E-1,5.028722405E-2,5.864102411E-1
5.749954583E-1,-1.030223849E-1,-9.766019583E-2,2.888419282E-1
5.950524583E-1,-2.577423424E-1,-2.434441459E-1,-1.654557377E-1
6.151104583E-1,-4.888082251E-1,-1.574666870E-1,-2.638252008E-1
6.351674583E-1,-7.802758455E-2,2.415209967E-1,-1.394373822E-1
