"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.172916412E-3,5.231405322E1,4.944131891E0,3.163981390E0,NaN,NaN,1.015745569E3,3.047349203E1
1.620242000E1,5.231323164E1,4.945066129E0,3.163981390E0,NaN,NaN,1.228125192E3,3.052579452E1
1.622690797E1,5.231323164E1,4.945066129E0,3.163981390E0,NaN,NaN,1.228125192E3,3.052579452E1
1.791576803E1,5.231323164E1,4.945066129E0,3.163981390E0,NaN,NaN,1.228125194E3,3.052579590E1
2.132275093E1,5.231253389E1,4.945435379E0,3.163981390E0,NaN,NaN,1.046473556E3,3.052579590E1
2.133109200E1,5.231253389E1,4.945435379E0,3.163981390E0,NaN,NaN,1.046473556E3,3.052579590E1
3.552492702E1,5.231217889E1,4.947429598E0,3.163981390E0,NaN,NaN,8.412924857E2,3.053056286E1
3.554404402E1,5.231217889E1,4.947429598E0,3.163981390E0,NaN,NaN,8.412924857E2,3.053056286E1
4.528631794E1,5.231194370E1,4.947189630E0,3.163981390E0,NaN,NaN,7.230007291E2,3.053056287E1
4.530367601E1,5.231194370E1,4.947189630E0,3.163981390E0,NaN,NaN,7.230007291E2,3.053056287E1
5.288431001E1,5.231207192E1,4.947017599E0,3.163981390E0,NaN,NaN,6.793095741E2,3.054713185E1
5.289886200E1,5.231207192E1,4.947017599E0,3.163981390E0,NaN,NaN,6.793100984E2,3.054713185E1
6.392609692E1,5.231111548E1,4.950282427E0,3.163981390E0,NaN,NaN,7.767918214E2,3.055732552E1
6.393476593E1,5.231111548E1,4.950282428E0,3.163981390E0,NaN,NaN,7.767919734E2,3.055732552E1
7.280541098E1,5.230998003E1,4.950794141E0,3.163981390E0,NaN,NaN,7.780597078E2,3.057536708E1
7.281148803E1,5.230998003E1,4.950794141E0,3.163981390E0,NaN,NaN,7.780597797E2,3.057536708E1
8.482601392E1,5.230961308E1,4.951281457E0,3.163981390E0,NaN,NaN,8.477425450E2,3.058499976E1
8.483947003E1,5.230961308E1,4.951281457E0,3.163981390E0,NaN,NaN,8.477425450E2,3.058499976E1
8.484190392E1,5.230961308E1,4.951281457E0,3.163981390E0,NaN,NaN,8.477425450E2,3.058499976E1
8.485569894E1,5.230961308E1,4.951281457E0,3.163981390E0,NaN,NaN,8.477425450E2,3.058499976E1
8.542675400E1,5.230884603E1,4.951922151E0,3.163981390E0,NaN,NaN,8.157965676E2,3.058499976E1
8.543588698E1,5.230884603E1,4.951922151E0,3.163981390E0,NaN,NaN,8.157965676E2,3.058499976E1
8.545013595E1,5.230884603E1,4.951922151E0,3.163981390E0,NaN,NaN,8.157965676E2,3.058499976E1
8.646478295E1,5.230714779E1,4.953310702E0,3.163981390E0,NaN,NaN,7.270823391E2,3.058499976E1
1.062046859E2,5.230533994E1,4.955610527E0,3.163981390E0,NaN,NaN,6.567346168E2,3.060972146E1
1.062186700E2,5.230533994E1,4.955610527E0,3.163981390E0,NaN,NaN,6.567351184E2,3.060972146E1
1.290662950E2,5.230261500E1,4.961190997E0,3.163981390E0,NaN,NaN,9.398066910E2,3.065614629E1
1.338835880E2,5.230012215E1,4.961292827E0,3.163981390E0,NaN,NaN,8.467155085E2,3.065789386E1
1.338948320E2,5.230012215E1,4.961292827E0,3.163981390E0,NaN,NaN,8.467157605E2,3.065789386E1
1.361216930E2,5.229877838E1,4.965043123E0,3.163981390E0,NaN,NaN,7.929880237E2,3.066064566E1
1.361299369E2,5.229877838E1,4.965043124E0,3.163981390E0,NaN,NaN,7.929881371E2,3.066064566E1
1.544241869E2,5.229373466E1,4.972305303E0,3.163981390E0,NaN,NaN,9.554294642E2,3.070790510E1
1.544314420E2,5.229373466E1,4.972305303E0,3.163981390E0,NaN,NaN,9.554295243E2,3.070790510E1
1.809641870E2,5.228234802E1,4.975353996E0,3.163981390E0,NaN,NaN,1.095072589E3,3.076136414E1
1.809781029E2,5.228234802E1,4.975353996E0,3.163981390E0,NaN,NaN,1.095072783E3,3.076136414E1
2.109115820E2,5.226772202E1,4.975001758E0,3.163981390E0,NaN,NaN,1.143966713E3,3.082756439E1
2.109245050E2,5.226772202E1,4.975001758E0,3.163981390E0,NaN,NaN,1.143966895E3,3.082756439E1
2.249053230E2,5.226772092E1,4.975000741E0,3.163981390E0,NaN,NaN,1.393898571E3,3.086028469E1
2.249202189E2,5.226772092E1,4.975000741E0,3.163981390E0,NaN,NaN,1.393898574E3,3.086028469E1
2.258442529E2,5.227758123E1,4.986660910E0,3.163981390E0,NaN,NaN,9.930603164E2,3.086041529E1
2.527315130E2,5.226359770E1,4.981078007E0,3.163981390E0,NaN,NaN,1.214156805E3,3.091239104E1
2.527585369E2,5.226359770E1,4.981078008E0,3.163981390E0,NaN,NaN,1.214157837E3,3.091239105E1
2.590482739E2,5.226199389E1,4.978284759E0,3.163981390E0,NaN,NaN,9.443694197E2,3.092360480E1
2.590689139E2,5.226199389E1,4.978284757E0,3.163981390E0,NaN,NaN,9.443700475E2,3.092360480E1
2.618442800E2,5.226207928E1,4.982021057E0,3.163981390E0,NaN,NaN,9.556987535E2,3.092474437E1
2.618496929E2,5.226207928E1,4.982021057E0,3.163981390E0,NaN,NaN,9.556987932E2,3.092474437E1
2.690652009E2,5.226227441E1,4.989929394E0,3.163981390E0,NaN,NaN,9.277651874E2,3.094017670E1
2.690894710E2,5.226227441E1,4.989929397E0,3.163981390E0,NaN,NaN,9.277661474E2,3.094017671E1
2.744830949E2,5.226134899E1,4.981844633E0,3.163981390E0,NaN,NaN,8.766312571E2,3.095567141E1
2.744980860E2,5.226134899E1,4.981844633E0,3.163981390E0,NaN,NaN,8.766316490E2,3.095567141E1
2.852660609E2,5.226085630E1,4.979273456E0,3.163981390E0,NaN,NaN,8.552145437E2,3.098543913E1
2.852741280E2,5.226085630E1,4.979273455E0,3.163981390E0,NaN,NaN,8.552146572E2,3.098543913E1
2.891428100E2,5.225918398E1,4.981790776E0,3.163981390E0,NaN,NaN,8.533376074E2,3.098975094E1
2.891487730E2,5.225918398E1,4.981790776E0,3.163981390E0,NaN,NaN,8.533376814E2,3.098975094E1
2.939849880E2,5.225872373E1,4.982339717E0,3.163981390E0,NaN,NaN,8.897121987E2,3.099409735E1
2.939938020E2,5.225872373E1,4.982339717E0,3.163981390E0,NaN,NaN,8.897123260E2,3.099409735E1
3.185813720E2,5.225438116E1,4.988905630E0,3.163981390E0,NaN,NaN,1.441770729E3,3.105988345E1
3.185881970E2,5.225438116E1,4.988905630E0,3.163981390E0,NaN,NaN,1.441770776E3,3.105988345E1
3.421295980E2,5.223887059E1,4.994021449E0,3.163981390E0,NaN,NaN,1.142186545E3,3.111920592E1
3.421540279E2,5.223887059E1,4.994021451E0,3.163981390E0,NaN,NaN,1.142187085E3,3.111920593E1
3.629444990E2,5.223084946E1,4.992237625E0,3.163981390E0,NaN,NaN,9.481498715E2,3.116554734E1
3.629590620E2,5.223084946E1,4.992237624E0,3.163981390E0,NaN,NaN,9.481501876E2,3.116554734E1
3.853852869E2,5.222628088E1,4.994774905E0,3.163981390E0,NaN,NaN,1.257612946E3,3.122181942E1
3.853972470E2,5.222628087E1,4.994774905E0,3.163981390E0,NaN,NaN,1.257613112E3,3.122181942E1
3.984449580E2,5.222361229E1,4.997148758E0,3.163981390E0,NaN,NaN,1.381297962E3,3.125602643E1
3.984563429E2,5.222361229E1,4.997148758E0,3.163981390E0,NaN,NaN,1.381298096E3,3.125602643E1
4.382688750E2,5.220875946E1,4.993727932E0,3.163981390E0,NaN,NaN,1.244043607E3,3.133229521E1
4.382779340E2,5.220875946E1,4.993727932E0,3.163981390E0,NaN,NaN,1.244043677E3,3.133229521E1
4.536286740E2,5.220806080E1,4.993593410E0,3.163981390E0,NaN,NaN,1.299776050E3,3.134870728E1
4.536361560E2,5.220806080E1,4.993593410E0,3.163981390E0,NaN,NaN,1.299776123E3,3.134870728E1
4.591275780E2,5.220255047E1,4.992296867E0,3.163981390E0,NaN,NaN,1.098148185E3,3.135820520E1
4.591345310E2,5.220255047E1,4.992296867E0,3.163981390E0,NaN,NaN,1.098148244E3,3.135820520E1
4.714036570E2,5.219831090E1,5.002169490E0,3.163981390E0,NaN,NaN,1.076132647E3,3.138092225E1
4.714509190E2,5.219831089E1,5.002169504E0,3.163981390E0,NaN,NaN,1.076135924E3,3.138092230E1
4.863680069E2,5.219112821E1,4.991439049E0,3.163981390E0,NaN,NaN,1.029554666E3,3.141078934E1
4.863851820E2,5.219112820E1,4.991439047E0,3.163981390E0,NaN,NaN,1.029555063E3,3.141078935E1
4.937328960E2,5.219081436E1,4.991236813E0,3.163981390E0,NaN,NaN,1.095260817E3,3.141431046E1
4.937385820E2,5.219081436E1,4.991236813E0,3.163981390E0,NaN,NaN,1.095260867E3,3.141431046E1
5.052510830E2,5.218735435E1,4.990272297E0,3.163981390E0,NaN,NaN,9.487184923E2,3.143807306E1
5.052580559E2,5.218735435E1,4.990272297E0,3.163981390E0,NaN,NaN,9.487185648E2,3.143807306E1
5.094156300E2,5.218206660E1,4.990084082E0,3.163981390E0,NaN,NaN,9.731638345E2,3.144713407E1
5.094203609E2,5.218206660E1,4.990084082E0,3.163981390E0,NaN,NaN,9.731638616E2,3.144713407E1
5.196530460E2,5.217922727E1,4.989865930E0,3.163981390E0,NaN,NaN,9.690978969E2,3.146692540E1
5.196619620E2,5.217922727E1,4.989865930E0,3.163981390E0,NaN,NaN,9.690980323E2,3.146692540E1
5.288776180E2,5.217693778E1,4.989502060E0,3.163981390E0,NaN,NaN,8.007757173E2,3.147475927E1
5.288874010E2,5.217693778E1,4.989502060E0,3.163981390E0,NaN,NaN,8.007759017E2,3.147475927E1
5.388534160E2,5.217624875E1,4.989327854E0,3.163981390E0,NaN,NaN,9.371021624E2,3.150232534E1
5.388594170E2,5.217624875E1,4.989327854E0,3.163981390E0,NaN,NaN,9.371021658E2,3.150232534E1
5.388666370E2,5.217624875E1,4.989327854E0,3.163981390E0,NaN,NaN,9.371022680E2,3.150232534E1
5.538439320E2,5.217566761E1,4.989444826E0,3.163981390E0,NaN,NaN,1.021629067E3,3.151401144E1
5.538611510E2,5.217566761E1,4.989444826E0,3.163981390E0,NaN,NaN,1.021629125E3,3.151401144E1
5.538632619E2,5.217566761E1,4.989444826E0,3.163981390E0,NaN,NaN,1.021629134E3,3.151401144E1
5.549185530E2,5.217566755E1,4.989444838E0,3.163981390E0,NaN,NaN,1.023569711E3,3.151407543E1
5.617026410E2,5.217503714E1,4.989571728E0,3.163981390E0,NaN,NaN,1.079827898E3,3.152545394E1
5.655246780E2,5.216913419E1,4.991314386E0,3.163981390E0,NaN,NaN,9.787665974E2,3.153367725E1
5.655430210E2,5.216913418E1,4.991314387E0,3.163981390E0,NaN,NaN,9.787670347E2,3.153367725E1
5.726378800E2,5.216454595E1,4.992625687E0,3.163981390E0,NaN,NaN,9.385687982E2,3.155040003E1
5.833037000E2,5.216065738E1,4.993737029E0,3.163981390E0,NaN,NaN,9.784869907E2,3.156704888E1
5.845990649E2,5.216054131E1,4.993727266E0,3.163981390E0,NaN,NaN,9.686606825E2,3.156803447E1
5.846053970E2,5.216054131E1,4.993727266E0,3.163981390E0,NaN,NaN,9.686607447E2,3.156803447E1
5.846156579E2,5.216054131E1,4.993727266E0,3.163981390E0,NaN,NaN,9.686609402E2,3.156803447E1
5.891324500E2,5.215811769E1,4.994465440E0,3.163981390E0,NaN,NaN,9.079349078E2,3.157745383E1
5.891489580E2,5.215811769E1,4.994465441E0,3.163981390E0,NaN,NaN,9.079353952E2,3.157745383E1
5.891501120E2,5.215811769E1,4.994465441E0,3.163981390E0,NaN,NaN,9.079353974E2,3.157745383E1
5.930932389E2,5.215808889E1,4.994473666E0,3.163981390E0,NaN,NaN,9.359945944E2,3.158551521E1
5.931008630E2,5.215808889E1,4.994473666E0,3.163981390E0,NaN,NaN,9.359946949E2,3.158551521E1
