mode,sensor,feature,count,mean,std,min,max
Bike,Accelerometer,Time (s),40138.0,402.7280388847156,232.51426820756308,0.01898804167,805.4516277
Bike,Accelerometer,X (m/s^2),40138.0,0.717988184330737,1.1867544302040889,-34.04056229,35.12520676
Bike,Accelerometer,Y (m/s^2),40138.0,-9.393953742084244,2.4694496420760905,-38.3495018,6.199657745
Bike,Accelerometer,Z (m/s^2),40138.0,-0.5939745698997174,1.8504942310348649,-9.218130798,13.8935083
Bike,Gyroscope,Time (s),40165.0,403.0277849893936,232.6706708393649,0.04783304164,806.0122597
Bike,Gyroscope,X (rad/s),40165.0,0.00044965356676291915,0.3017693039958613,-4.884123802,4.934376717
Bike,Gyroscope,Y (rad/s),40165.0,0.006341406243961491,0.32303555472508516,-6.539308548,5.932321072
Bike,Gyroscope,Z (rad/s),40165.0,-0.0006174746857926791,0.47166842632580813,-7.907723904,10.77876759
Bike,Linear Accelerometer,Time (s),40151.0,402.8873163457496,232.58957038506543,0.04783304164,805.7313157
Bike,Linear Accelerometer,X (m/s^2),40151.0,-0.0049858877566537245,0.9637609147496152,-36.15688481,53.57341538
Bike,Linear Accelerometer,Y (m/s^2),40151.0,-0.04166449434990677,1.5022388029847078,-20.03170245,25.58737827
Bike,Linear Accelerometer,Z (m/s^2),40151.0,-0.01372514632264531,0.8540880420149496,-17.96795225,12.67405277
Bike,Magnetometer,Time (s),40179.0,403.16825363521224,232.7517712965473,0.04783304164,806.2932033
Bike,Magnetometer,X (µT),40179.0,11.820567691243893,22.015982594085855,-51.87696075,143.0577393
Bike,Magnetometer,Y (µT),40179.0,93.08022731529056,56.455416273159415,-75.89333344,394.1029358
Bike,Magnetometer,Z (µT),40179.0,11.897501268241351,17.938547620026245,-66.48234558,115.8038864
Bike,Barometer,Time (s),756.0,400.59949021863247,232.62332927435193,-0.5033388335,802.7580652
Bike,Barometer,X (hPa),756.0,1008.5558293928573,0.33035307318938717,1007.636337,1008.870773
Car,Accelerometer,Time (s),17774.0,176.47576988710136,101.87495793230104,0.03819037499,352.9138127
Car,Accelerometer,X (m/s^2),17774.0,5.239580288807647,0.9998433177531028,-8.891360321,10.3726799
Car,Accelerometer,Y (m/s^2),17774.0,-0.4382654480101058,1.2327819415544334,-5.482050018,10.04965164
Car,Accelerometer,Z (m/s^2),17774.0,8.095812934672132,0.7505714835247861,0.9735754395,19.03097488
Car,Gyroscope,Time (s),17775.0,176.4770099001223,101.88068946508454,0.029503375,352.9249807
Car,Gyroscope,X (rad/s),17775.0,0.012734543954646215,0.1335874930401653,-2.186859846,3.887869596
Car,Gyroscope,Y (rad/s),17775.0,0.0007477059526557053,0.17777831462596086,-4.2251091,7.044288635
Car,Gyroscope,Z (rad/s),17775.0,0.017810682017614324,0.15010385040874227,-2.312379599,2.661363363
Car,Linear Accelerometer,Time (s),17775.0,176.4770099001223,101.88068946508454,0.029503375,352.9249807
Car,Linear Accelerometer,X (m/s^2),17775.0,0.028152278626096327,0.8197822606484673,-8.215925052,6.579498721
Car,Linear Accelerometer,Y (m/s^2),17775.0,-0.20066409487318126,1.0653986469689107,-5.944148455,4.755503068
Car,Linear Accelerometer,Z (m/s^2),17775.0,-0.16077021722408788,0.7251698368963808,-18.90148595,13.14934369
Car,Magnetometer,Time (s),17775.0,176.4770099001223,101.88068946508454,0.029503375,352.9249807
Car,Magnetometer,X (µT),17775.0,8.245175138724006,11.092540421325873,-28.14604187,106.101944
Car,Magnetometer,Y (µT),17775.0,-1.0696156334743068,14.518298684214532,-97.85034943,39.2141304
Car,Magnetometer,Z (µT),17775.0,10.824361542666049,14.11292813399934,-23.41433334,159.502121
Car,Barometer,Time (s),331.0,174.18186166163142,101.8611759241191,-0.488202,349.85085
Car,Barometer,X (hPa),331.0,1007.4333778851964,0.2336494327613501,1006.995926,1007.7668
Metro,Accelerometer,Time (s),41158.0,408.5867616107756,235.91512576001375,-0.002096874989,817.201406
Metro,Accelerometer,X (m/s^2),41158.0,7.417787792367592,0.9777605373281116,-12.03976318,21.63525925
Metro,Accelerometer,Y (m/s^2),41158.0,-1.4278456722504862,0.7854984705488739,-23.87115967,8.285121002
Metro,Accelerometer,Z (m/s^2),41158.0,-6.003367919619018,1.2624865749774516,-11.02726868,15.64456696
Metro,Gyroscope,Time (s),41157.0,408.5979291775751,235.9093944481862,0.018996125,817.202646
Metro,Gyroscope,X (rad/s),41157.0,0.0013915377145259104,0.15895325228458854,-3.401603699,7.931791782
Metro,Gyroscope,Y (rad/s),41157.0,-0.0036859151173117733,0.14960478655652462,-3.349983692,8.486701965
Metro,Gyroscope,Z (rad/s),41157.0,-0.0010543585939650232,0.18572552434357012,-10.68984032,3.61662364
Metro,Linear Accelerometer,Time (s),41157.0,408.5979291775751,235.9093944481862,0.018996125,817.202646
