Time (s),Accelerometer_X (m/s^2),Accelerometer_Y (m/s^2),Accelerometer_Z (m/s^2),Gyroscope_X (rad/s),Gyroscope_Y (rad/s),Gyroscope_Z (rad/s),Linear Accelerometer_X (m/s^2),Linear Accelerometer_Y (m/s^2),Linear Accelerometer_Z (m/s^2),Magnetometer_X (µT),Magnetometer_Y (µT),Magnetometer_Z (µT),Barometer_X (hPa)
11,4.78155470578,-8.355720190340001,-0.7418483184833999,0.16310173360862745,0.08821153051333333,-0.07618076114235295,0.34334819933078436,0.3353162861734706,-0.14153986971254903,-0.7938863716771765,47.82519015176471,4.879006142764706,1026.977463
12,7.033253685372549,-6.681722932666666,0.4730838640698039,0.15347086561462,-0.1925886756064,-0.4285216296616,0.08478516488402,0.03365907590420001,-0.17976591869118,-15.66887329098,44.767060547199996,-0.5457286071398,1026.973343
13,8.19765189522,-4.3154419921772,-0.7948321380183999,-0.0488876800560196,-0.03977000532605883,-0.49682066260680396,0.16343995032294112,0.5555553612264118,1.0094789278816079,-25.353738522745097,39.14406780137255,7.261772267959019,1026.969833
14,8.82503624242,-4.286944253508,1.2779554778978,0.28684252577048797,0.1899087259308,0.6335122475203999,0.4913073250792,-0.042145729083680014,0.028155461289000004,-27.227492370999997,35.070479202,-11.3378318788,1026.963425
15,8.312690142509805,-4.18379680857451,0.5950449505701961,-0.08302775719515401,-0.1531622605582,-0.6214351729242,-0.234234921597,-0.1349364178102,-0.016281891946960003,-29.0849468996,34.1449662404,-11.109260863500001,1026.956787
16,8.22542514044,-4.9266180450698,1.31208750000582,0.14094785591525294,-0.005078218296666662,0.5134636981560784,0.13823056275914314,0.13809515958294116,0.0050007731457647015,-25.290881886666668,36.53624953470588,-15.306555729058823,1026.938171
17,8.64011079704,-3.310171462938,0.59229132384916,-0.19665172148014,0.13449120271446,0.019706512259999996,-0.40647349960679996,-0.0651272644456,-0.3529287109746,-33.006778260000004,30.888343276599997,-13.023682174000001,1026.895218
18,8.124801447156862,-4.818441763513725,1.3268965867491471,0.12856947933600002,-0.23066152369200002,-0.48319589587992,-0.12590179132999998,-0.24093287938340002,0.3352986226812,-27.0931042476,34.7628871158,-14.4720285792,1026.8116
19,8.4683100586,-5.3276371215200005,1.60028618776,-0.08508673345215687,-0.020932684799901964,0.2475229787835294,0.3589417775425687,-0.29488977794,-0.024910005714333334,-25.12270489882353,35.299083448235294,-17.134766596862747,1026.735077
20,8.24135025909804,-4.358665520101961,1.212146974430196,-0.108471116816932,0.1558750755176,0.3105038870944,-0.2966862253096,-0.4048303735858,-0.26895967741550597,-28.4557818602,31.5253401194,-17.188618011000003,1026.667099
21,8.3990730376,-4.133636059478,0.74209979549594,-0.10797124762754902,0.058045081480588234,-0.156795709987451,-0.4570869368723529,-0.5900278331888824,-0.46572247043647064,-30.9559436872549,31.714756236862744,-15.704379063333334,1026.620102
22,8.22654780588,-4.8808791595,1.237335946623,0.007397338975799999,-0.22190021015418002,-0.38351376302920004,-0.1560270206232,-0.32534625926960004,0.3827443356416,-26.7218594368,35.229822121000005,-13.020439453440002,1026.620102
23,9.203707850039216,-3.3425344579607845,0.1138837657290196,-0.04904874797918,0.0081122655456,0.05000770956904,-0.10603551365572002,-0.3954576143228,-0.1613352481426,-35.3407247924,29.6592874526,-10.79829757596,1026.647415
24,9.10206515854,-3.07733664552,-0.20099902038752598,0.009912758245882353,0.046915561632450975,0.02902807583892157,-0.33577983275980394,-0.3907795285490981,-0.356909318723,-36.312048220196075,28.75189942,-9.898712158215686,1026.674728
25,9.19247115782,-3.4734908386,-0.03941004638508,-0.202267075020582,0.17498547121455998,0.012394787066659996,-0.12784828270600002,-0.6437668337222,-1.09956884933,-34.804472655599994,30.4210598376,-12.8419743346,1026.75209
26,9.325381299392157,-3.5404053362745094,0.19930025886529412,-0.3551176294324,0.20027720436044,-0.08589202596864,0.15381879619500002,-0.489249625559262,-1.5399548636700002,-34.9174826048,34.984212723199995,-11.90861343308,1026.830292
27,9.06562792968,-3.40131991884,0.39214253539099997,-0.48149247947801965,0.08500723247352941,-0.029439896690137256,0.01367936609333333,-0.05584503118378431,-1.2898598655417648,-37.37163229607843,30.805070279411765,-0.9452972412039217,1026.902084
28,9.112855601764707,-3.4286260178803922,1.03061858234,-0.41636662342582,0.4025379368502,0.2018345647252,0.33972129985538,-0.0277563905952,-1.0313791408522,-34.9788943482,29.707979316800003,6.1000355530000006,1026.939468
29,8.000347192420001,-5.6257182586,1.7861995788260001,-0.0268663435372549,-0.30340478400627446,-0.4101268675403921,0.20033013701764707,-0.09738409831666667,0.09665288321901962,-29.509556489607842,33.16543410784314,7.832337136352941,1026.961823
30,8.92796220708,-2.19420612488,0.5341372558657,0.07309827212534001,0.18091578910391998,0.2057823783314,-0.57648851022,-0.26882916315882,-0.024566539895668007,-38.147269897,20.5684341244,13.78850288394,1026.965637
