Time (s),Accelerometer_X (m/s^2),Accelerometer_Y (m/s^2),Accelerometer_Z (m/s^2),Gyroscope_X (rad/s),Gyroscope_Y (rad/s),Gyroscope_Z (rad/s),Linear Accelerometer_X (m/s^2),Linear Accelerometer_Y (m/s^2),Linear Accelerometer_Z (m/s^2),Magnetometer_X (µT),Magnetometer_Y (µT),Magnetometer_Z (µT),Barometer_X (hPa)
0,-2.0542974542040815,2.801152524408163,9.206824717612244,-0.05424353011314583,-0.16398869229875,-0.08083377727339583,0.02259923267958333,-0.10477170132375001,0.09471522129791667,-7.235561688708334,-13.489445885208333,-37.28455225625,1008.78067
1,-0.42496627811,1.9022801880058,9.51493059998,-0.1565788585583,-0.3883296535318,-0.14536208262294,0.38100650878438,-0.25692679903294,0.0218030626446,-12.209062042160001,-11.83472065002,-36.290501709,1008.773117
2,3.1536269988758,-7.949605709999999,4.752182784926,-0.6169867273496,-0.7232864342642,1.4867945926056,1.1489224263976,-0.662168386794,0.423672467527,-16.219364471361402,24.721651993098,-2.7418495179440003,1008.762512
3,-0.9047844909228,-9.62065574334,0.12362492068999999,-0.5602161641320408,0.2031032260383755,-0.2123466705867347,-0.18771854517006123,0.03726315979179593,-0.12090253049818368,22.67683504076551,40.87534846122449,-0.3031622438673469,1008.7539675
4,0.571649249276,-9.7347844116,-1.6636943298759999,-0.03660590352556,0.004497447568280001,-0.2051051183929,0.19162857153437998,-0.0927730111338,0.16322040856984,-1.5536461639519998,54.9186186222,4.2195042419,1008.754425
5,0.21839883728027998,-9.536524694899999,-2.27651396486,-0.004438183875132001,-0.1650505401622672,0.022837437144582,0.012516177063475999,-0.008530748500064,0.02038072158828,11.21000671382,77.19191925060001,1.885896453836,1008.755417
6,-0.15964760292102043,-9.627935747408163,-1.7864432354010205,-0.018141960035160002,0.05063180143176,-0.028147805731499997,-0.10696879137071999,-0.050612586513400004,0.2718937093622,15.8434198768,111.54028930759999,-7.9460871887434,
7,0.414529980438,-9.533788385000001,-2.2049747314454002,-0.11903217302664,-0.01434927763388,0.13014705600202,0.43445868358464,-0.07503059421050001,0.351360238165,17.6762300878,144.34119628599998,4.72328903132,1008.756866
8,-0.69235224605304,-9.687285186819999,-2.3671325226162,0.29716293410314004,-0.2193168473614,-0.27186714241800003,0.345455290160348,-0.500736661985,0.657793377248,6.36361648544,135.33512648800001,19.51620178286,1008.756866
9,1.84369501651482,-9.56580380826,-0.1880539398279,-0.11653749933224489,0.27209311700877553,-0.19426392611959184,-0.2831518684867347,-0.008196841705714285,-0.2279129340844898,-17.539698541514284,101.36975409306123,16.044749200714286,1008.754807
10,3.0247240539622,-9.4115495819,0.419484677138,0.19288505137400003,-0.3916084505792,0.0434316167436,0.032713142569619984,-0.08110043670347998,0.7023091765341999,-24.9893235786,73.8696900944,29.775550079,1008.751678
11,1.0108838562,-9.6358880675,-0.5287903747748,-0.016406059021359994,-0.22398233600526002,0.0971114556606,0.02706291853364,0.06604516619654,0.38697941615664,-16.047020416400002,85.1447607424,39.8161842348,1008.741608
12,2.540321455959184,-9.345021010428571,-0.6908898178428572,-0.06634190643435206,0.23914579292326,-0.09248363134092001,0.3977706032442,0.1718622044672,0.0741263288324,-20.1602844236,83.7967195136,40.357647095000004,1008.729935
13,2.871152407882,-9.47779282816,-0.30832583314539996,-0.022365295847620002,0.08365771753792,0.140683036345234,0.43159991065508,-0.038486770984300006,0.34151172237942,-17.3689421088,85.0396984874,41.0817124936,1008.726959
14,1.7082776183639998,-9.648779259640001,-0.6214446990862,-0.004507044552780001,-0.178445092674742,-0.2223302186294,-0.2782661701458,-0.046229431842600005,0.13548162462518,-23.7227507016,95.6970881654,45.2173179624,1008.724747
15,2.75428742982,-9.255472146319999,-1.1446546783232001,0.017851344568265304,0.035291356736693875,0.040334804175306126,-0.04187031224306122,0.07845569617959183,-0.290737804377551,-19.510963906734695,97.05479477959184,45.110950858571435,1008.720703
16,2.4776057922640002,-9.46145580132,-1.062622265623,0.0787772166422,-0.02223556236316,-0.0029817557843999976,-0.0726137440718,-0.03627337774000001,-0.2511149305024,-36.606882019,68.1147045884,41.501753693,1008.719482
17,2.553015975964,-9.50355425764,-0.5614195220878,-0.0484133963714,-0.018551903929600003,0.028081538049920002,-0.05754827305619999,-0.06704085347620001,-0.3603027379716,-42.53100662200001,53.9245700074,32.0964253236,1008.719482
18,1.4014499554959183,-9.597936905816326,-0.9901206254038775,0.03518157024832,-0.1414724092448,0.059790451262140006,-0.6566773776853999,-0.002424571387800015,-0.3258177297674,-34.7421215826,54.230974274,37.082952270599996,1008.720703
19,1.588529635644,-9.7057567746,-1.114734896832,-0.0421486693298,0.1107522376273,-0.00582210925316,-0.20145130545108,-0.0767026522766,-0.5078580626532,-36.9734315484,55.030314941200004,35.8462963866,1008.720703
20,1.709163775544,-9.52194800696,-1.5687527618600001,-0.06395214212102801,0.0191241071843,-0.087557267461932,-0.38628553151440004,0.005544645631620006,-0.5182441568084,-38.551116179800005,52.4108982848,37.672536316199995,1008.719711
21,1.7978004547678,-9.4732752228,-1.430643960546,0.02486691670934694,0.13760047656591837,0.18887762947291836,-0.22738374787775512,0.030647536453265307,-0.293093134454898,-38.891201719795916,49.35698435285715,35.67162042734694,1008.715897
22,1.4276591674958,-9.588604394499999,-1.44448118594,-0.05940015810358,0.02577654458144,-0.031998158907440004,-0.03793793237240001,0.007102378966180001,-0.15281764473466,-30.4253836054,45.0675141904,29.6460417168,1008.709183
23,1.2939362457114998,-9.6327416107,-1.446534915086,0.0098650694354436,0.011755916091000003,-0.0124206524869652,-0.056037105513199986,-0.011894593191,-0.0525016727996,-31.179262085199998,44.2343247992,28.8392869562,
24,1.6626567731653061,-9.530592256,-1.4801892775714285,-0.008538316902522,0.01504981547586,-0.010530557513824,0.05392952484784,0.0133097947908,0.025520441688291998,-21.517324066,43.7129127504,32.631094970999996,1008.703384
25,1.8005726897599998,-9.55265814516,-1.40652012644,0.0156205490602214,3.3694389403999544e-05,-0.0025149235492100005,0.059190168288699996,0.004413747347200001,-0.01610409729686,-22.8288475036,43.4571990966,30.7154229738,1008.703384
26,1.6976197815,-9.57999729308,-1.30233378292,-0.0002920546195280001,-0.006657779830900001,0.000417789835448,0.02220492130602,-0.005735346721224,0.03904417440824,-23.1097334294,43.284597168,30.4713085934,1008.709946
27,1.69363806158,-9.56329502562,-1.35441348268,-0.006241519717306123,-0.00663183653330898,0.0037017629780121183,0.03287361023349939,0.005503793165816326,0.016434789916865308,-23.72520929510204,43.07115687163265,30.264073118979592,1008.726807
28,1.70393963926,-9.572069778500001,-1.2899066253999998,0.02643123701701,0.025869279417766,0.0052715359116259995,0.04156577153912,0.01253419671976,-0.018652227630622,-23.1466812136,42.7352143862,30.8975555424,1008.747864
29,1.59342445678,-9.62213167416,-1.074399774142,-0.008970742002271999,-0.018018749762429998,0.01532918278046,-0.0011472354104899996,-0.004925250078363999,0.027131127402,-23.5572166448,42.0212011722,30.263352204000004,1008.7677
30,1.5230705136734695,-9.629157696122448,-1.1098105045755102,0.009230194580486,-0.00141624733822,-0.008864205895482001,0.0408836587498,-0.004432902823320001,0.06107889788824,-23.0027078246,42.0225540166,31.4031600952,1008.777618
31,1.7878730988199998,-9.57911412962,-1.111339956616,0.0034634237648139992,0.03415266678322,-0.04106201658842,0.02330299332894,0.0028897407497819995,0.005184438142899999,-25.805274047799998,41.9537402346,30.1191076654,1008.777618
32,1.9985749420599999,-9.543251705940001,-0.996462844826,0.011982125057886001,-0.01622356063668,-0.0006682779838860001,0.014851497987587997,0.01135267324214,-0.006592569000199999,-23.2462699894,43.1473876958,31.078386077999998,1008.768234
33,2.01116076962,-9.55377482286,-0.9778685119559999,-0.014554940772304082,-0.0005054545545306121,0.007294440043683673,0.050219864722938774,0.004502773709402042,0.03124108552447755,-21.958892199183673,43.41908186346939,33.5939497655102,1008.75206
34,1.892607302896,-9.5561249358,-1.0642478851582,0.01632817599049,0.001981008251279998,-0.011787352186627999,-0.015894720176900003,0.0021033954963947978,0.010237227695812003,-22.411509552,43.111578979200004,32.8044316106,1008.729095
35,1.96332624208,-9.558888189660001,-1.027002337648,-0.015049726129186002,-0.012253906666098,0.010875555795652001,0.03461016353598,-0.002304364297502001,0.04828896149604,-24.859058685599997,42.651485595000004,31.1788125612,1008.701782
36,1.9501965861836734,-9.548744304387755,-1.080822825555102,0.01670238083836,0.03774401500978,0.0028377606220639996,0.0472906312832,0.0201267711615,-0.04990629842416,-25.471663819,42.4711788944,30.244476775,1008.684235
37,1.542344677762,-9.567351589800001,-1.4108820557100001,-0.073796044037792,-0.059623562560380004,0.045975924731032,-0.009482090506399999,0.010904320454940004,0.019166615959600005,-23.4103016666,42.766235656400006,35.8064767454,1008.664017
38,1.355745712248,-9.53636003706,-1.77794873652,-0.00974427264232,0.016713440351400006,0.07214923330096,0.143949998693,-0.020530041934999993,0.019631669879880007,-9.077926025512001,53.9400582888,31.120212859600002,1008.655624
39,0.1563139434802,-9.5555171996,-2.17461486514,-0.031764382850571427,-0.10265803682032654,0.07489299721971633,-0.10752267386714286,0.018714431356693876,-0.009112265066326529,16.769217198869388,122.88067610938776,10.94330285502449,
40,-0.618606600885,-9.69433851932,-1.57885675051,0.04978278809764,-0.09888539145059999,0.1015204547133,-0.026583788895599997,-0.056379870689399994,0.12864800047378,3.7287023163476,102.1563221766,23.013022766200002,1008.653717
41,-1.0389175598059999,-9.5018298431,-1.573249411024,0.036503613476422,0.21416841837946,-0.09794813841556,0.141213808018,0.072625903340016,0.15109739681776,-5.150101928878001,113.20735016,28.049975433,1008.653717
42,-0.05903845339938776,-9.717351846142858,-1.5919975872244898,-0.028667936520972003,-0.010662393032319998,0.027756035465100002,0.011317197428000003,-0.028669167312500004,-0.11537741127936,10.269941711016,180.8674997,17.263173217840002,1008.683701
43,-0.15726596373941398,-9.5625855011,-2.047418371652,0.01165268875576,-0.024818068219740003,0.023571506528819997,0.2282165502642,0.008040436063757999,0.030964216993799996,15.97636375352,168.05745132799998,20.94972534112,1008.72345
44,-0.64513742983,-9.54665263364,-2.20731586306,-0.0702205337446524,0.012741245280214,-0.02119377863852,-0.20589775626314,0.01627809873832,-0.048742489080954,-8.1821476748,115.330129394,18.3882952884,1008.750992
45,-0.365764389044,-9.52126842036,-2.31655869144,0.02281835196215306,-0.017952502607742858,-0.001286002605422449,0.007374966311510204,0.01925731549842245,-0.045664600324897955,-7.012048059612246,110.33074032857142,16.613917292040817,1008.78891
46,-0.329464874266,-9.5635015961,-2.12307404482,0.009932797597940001,0.007239469085726,-0.004954846795115,0.027957387950153997,-0.0007552848468081997,0.00851745192884,-8.311893768380001,106.26953003599999,19.570286711999998,1008.82576
47,-0.3045297271786,-9.623155545120001,-1.92829608762,0.00036080164852000024,0.001874009105687999,-0.021178530735304003,-0.05250816138094,-0.008514493240611997,-0.0010930521807819976,-7.9578535462,104.81650421,20.597974548000003,1008.826828
48,-0.29045416074653063,-9.640711221469388,-1.8428850478163263,0.03025187685248,0.01881631560876,0.0386151304670118,0.148405530589,-0.03032509879526,0.0354375737882,-11.591895293919999,119.34340698599999,25.9933157344,1008.826828
49,-0.6222709808319999,-9.44766647642,-2.47991399236,-0.113195634016,0.037293614182386,0.043778577371919994,-0.06609756381158,0.025583018584019998,-0.032953202953940004,-16.789205627399998,121.79058685199999,19.825119781999998,1008.820496
50,-0.738444396976,-9.35995187984,-2.8233927246399997,0.014307722789024,-0.0278944942219,-0.012726744030451799,0.0017417627509939998,0.013918969416660001,-0.024374217849912002,-19.6197027586,109.93143585399999,12.90959671,1008.802414
