Time (s),Accelerometer_X (m/s^2),Accelerometer_Y (m/s^2),Accelerometer_Z (m/s^2),Gyroscope_X (rad/s),Gyroscope_Y (rad/s),Gyroscope_Z (rad/s),Linear Accelerometer_X (m/s^2),Linear Accelerometer_Y (m/s^2),Linear Accelerometer_Z (m/s^2),Magnetometer_X (µT),Magnetometer_Y (µT),Magnetometer_Z (µT),Barometer_X (hPa)
11,7.57569825446,-1.37741465156,-6.03174591978,-0.0002609742246419999,-0.005447978880666,-0.003922956520894001,-0.07834876041578,0.00048514055981200037,-0.05198146648934,-32.1290565488,-21.1998013312,42.2264248664,1007.816544
12,7.56601339414,-1.3731784607,-6.044388629159999,-0.000509663918,0.002006684784062,0.0010222838772938,-0.05475233334176,-0.0035387202948130004,-0.02166403924262,-33.6909123236,-17.7616424558,43.8804953766,1007.818069
13,7.574240462490196,-1.378950105509804,-6.030574062607843,0.00019815867981941182,0.001902643554582353,0.0011667987131339216,-0.03561456505005686,0.000349958723254902,0.003362859838390392,-33.25854985960785,-17.242893592745098,42.79263141117647,1007.81929
14,7.566944457979999,-1.3736814147199998,-6.04072125552,-0.0007987530645680001,-0.0023098978773789997,-0.0017635797243415999,-0.03166415795056,-0.0035509263573207995,0.010310336887728,-30.375551299799998,-19.611797638,39.5083395382,1007.822647
15,7.5629148376,-1.36793935544,-6.0526334839,-0.0006507909088566,-0.000252818819149,-6.983149801320002e-05,-0.02640869221684,-0.0019741749550920003,0.011545151888953999,-30.2093164064,-18.0926107782,40.004457321800004,1007.823944
16,7.566714935313725,-1.3785978967843138,-6.036899144764706,-0.001180291333764706,0.0036221830102019605,0.0018791103752429411,-0.025944348081941175,-0.0016353372356823525,0.019026381126770783,-33.25404552333333,-13.190226535882353,42.66305714019608,1007.824554
17,7.5759287751199995,-1.3666191009400002,-6.02937485044,-0.019868906902418,0.002018677517582,0.012150633781996,-0.030865545235231998,-0.00583313555703,0.014406136037819999,-30.605817717999997,-15.5856866456,38.843904953,1007.827759
18,7.578845591862746,-1.3625313074509804,-6.030929206431373,0.00041404752258823534,0.0013097362120960785,-0.00018506150637254907,-0.024232248942588235,-0.005871177771982352,0.01757451748187451,-29.61291922764706,-16.61510093490196,37.822524425686275,1007.827759
19,7.58557770998,-1.3686129547199999,-6.01738179016,-0.00021805524583399995,0.002063906025128,0.0017869155015768,-0.02426964039863,-0.0013506512677340001,0.021229743147014,-29.2327908324,-16.4443464668,37.090952683,1007.82814
20,7.57918899546,-1.3656401367800002,-6.033099105820001,-0.0002521834988144,-0.0027521261665780002,-0.0008171676704849999,-0.022831470930200003,0.0035143724888260005,0.015203310335160002,-27.4162211608,-18.1027322376,35.697869796999996,1007.827454
21,7.564325785882353,-1.360702756901961,-6.044850257431373,0.00011774810834901964,-0.00026653905186241176,-0.00038990694300137255,-0.028037421984007844,0.0025401451305862746,0.014053863076707843,-27.87839852117647,-17.509845659411766,36.5587019827451,1007.827072
22,7.57515937496,-1.36513418882,-6.03651200866,-0.00014967616185020005,0.0025308565422219997,0.001980936881158,-0.021936227130544,0.004666244736134,0.0167492907644,-28.670577545,-16.827149658,37.1645143888,1007.824936
23,7.5681269989199995,-1.36650833132,-6.04375394896,0.009824813627302,-0.0062823656857,-0.00959824743166,-0.020602407074386,0.006231453734177999,0.01908137086806,-26.412354583400003,-18.631357728,34.975226211,1007.822189
24,7.546788725019607,-1.3621174621568628,-6.069425623215686,-0.0013113922263450978,-0.00010109166003784315,0.0005451015693333331,-0.03331529080806667,-0.0010880923101549017,0.006883686222294118,-24.529172859607844,-20.03978534745098,33.41025543313725,1007.821159
25,7.5590738251400005,-1.3567516204599999,-6.05458243104,0.00020087390699899993,0.001041563330224,0.000782198551974,-0.02430548383028,0.0030008466205799994,0.017737049210282182,-25.074222107199997,-18.390670013199998,34.1731862648,1007.820129
26,7.561540401686275,-1.3652403797843138,-6.051600925215687,-0.0008023198322526001,-0.001132438406434,-0.0008146178628611999,-0.026390343652999998,-0.0023920549928599997,0.01621500728064,-29.007812500199996,-13.209548187400001,38.4115055088,1007.814407
27,7.556361465479999,-1.3496444000799999,-6.065791122399999,0.0016263896057137255,-0.0015799742851117645,-0.002702280390554902,-0.022302908545892158,-0.0017684903731070589,0.016055617226333335,-32.97545264686275,-7.709662867901962,43.45231882764706,1007.807541
28,7.545047991940001,-1.35479369194,-6.07289534922,-0.0036342757243339996,0.0022894200124924,0.0032799138779854,-0.030864621377224,-0.0099817233681,0.013425511192808,-36.4234793094,-3.5420806884400005,46.7057354732,1007.798615
29,7.57305175782353,-1.357823450372549,-6.0423290297450984,-0.003665460538201961,0.003163789681992157,0.0038210756475162747,-0.014725261015509802,-0.004616585996133333,0.026748477814313727,-34.464501624117645,-6.203523374098039,42.960335151372554,1007.788162
30,7.56701630862,-1.34484837346,-6.049567858860001,-0.002192240066284,-0.001198864551798,-0.00037392146860199996,-0.0169729935401,-0.003247233670762,0.025799260321406,-29.1089508054,-8.917027130080001,37.593840332599996,1007.77153
31,7.54276972958,-1.34927616564,-6.0768591064,-0.003780620598646,-2.4570916179999844e-05,0.0018990859159419002,-0.040135194681728,-0.015009837663819399,0.0017872950187783985,-27.529551086199998,-9.464544677840001,35.9412039184,1007.758484
32,7.562605833215687,-1.3527721898431373,-6.053350228686274,0.002389996563597255,-0.00026614342204901953,-0.0010607478062492157,-0.02445781388724706,-0.004491845395237255,0.017188968132254904,-27.68182298235294,-8.969818863196078,36.144350538431375,1007.745438
33,7.55200851746,-1.3455369415199998,-6.06715927738,0.008484837589899999,-0.0050205330457912005,-0.008365464941574,-0.024796591472852,-0.0014850816793959998,0.01666782735626,-28.264437408,-7.8954455566399995,37.185524444399995,1007.735214
34,7.54205721132,-1.34343531186,-6.08290952458,0.00104311147713254,0.0010061129276064,-0.0006605226826139999,-0.026500575364794,-0.002888094762044,0.012002123487286,-29.233791961199998,-6.721530914300001,38.6469912718,1007.732162
35,7.549019380490196,-1.3504652225490197,-6.068615543215686,-0.000250935944857647,0.001816740003880608,0.0011645415067254902,-0.024902305462019606,-0.0007407275723215686,0.017403400435588235,-30.56488665372549,-4.649804507941177,40.32487487803922,1007.732162
36,7.54123392338,-1.3446567718400002,-6.07833803104,-0.004108437620908,-0.001400157454948,0.0008249699422147999,-0.028722306811154,-0.00026992501622399986,0.01489788687194,-31.1167457582,-3.19317436222,40.5845314026,1007.738037
37,7.563145886607843,-1.3349885828431372,-6.064512311117648,0.006349589711860785,0.0011093937156862745,-0.004277156511,-0.006104091858341175,0.000865439509862745,0.03244396396258235,-30.47540178470588,-2.7455119711764704,39.98064235568627,1007.747498
38,7.53422549736,-1.35756892096,-6.08513090508,0.0027252979996762,0.0020699957760200003,-0.0007053487653799996,-0.041456887612079996,-0.014886823940059999,0.0017347753271399996,-28.693346252599998,-3.84074783326,38.093909835999995,1007.757797
39,7.56915685734,-1.3409175475800001,-6.03594917912,-0.01477845750238,0.0011745414509872001,0.00925357147018,-0.014491727575920004,0.0015099908168000001,0.0397532311677,-29.220897064400003,-2.250607223512,38.9269888308,1007.765961
40,7.5368094769607845,-1.3494702327254902,-6.088682636901961,0.009174791175077059,-0.005650941939827451,-0.00836945280374902,-0.030891860686027454,-0.019082179043243136,0.010424324347439215,-31.932841581176472,2.086591683171392,42.596143385686275,1007.7686309999999
41,7.54485040286,-1.3428904449999999,-6.075850204439999,0.0006560074142076,0.0036989261582159997,0.001294014360719,-0.023551953148729998,-0.0013689969062017997,0.01922582048132,-33.618006744999995,6.0458381653,43.7183081822,1007.771301
42,7.5672617981,-1.33702863466,-6.0541423462,0.002323784326866,-0.00246977295688,-0.0032782559782739995,-0.0043396982081800005,0.004864535513618,0.03712048723656,-33.8260426332,6.720610046419999,43.822880706599996,1007.780075
43,7.524746327039216,-1.3401543111960785,-6.098239234411765,0.0022394739785121564,-0.002344282800313726,-0.002909127025254902,-0.03670285800315686,-0.007665206718509804,0.008066864579705882,-34.38210835176471,7.124976737843137,44.51359258921569,1007.78923
44,7.55061940614,-1.3458572754,-6.06984768676,-0.00048462332098000006,0.00449817780384,0.003395609948058001,-0.02457613975436,-0.0054423047398799995,0.017586307996999995,-35.7949780272,8.79769622808,46.2084715274,1007.795029
45,7.531047928745098,-1.3447506355098038,-6.092530517627451,-0.00224082368185962,-0.0032865982128794597,-0.0011235746598799998,-0.04128285109118399,-0.0096252887961544,0.000892074605668,-36.3766375732,9.79816863994,46.4521778868,1007.805023
46,7.535464920120001,-1.3413486511,-6.08652899778,0.0008057729641549019,0.0002905841206058823,-0.0006060222410254902,-0.028544719535019608,-0.009183072246215687,0.014584549489929412,-36.53108918411765,9.140988817392158,46.39995754509804,1007.818069
47,7.54559585262,-1.34427356874,-6.0758412231,0.00015020857104399994,0.003718458730798,0.0015824111411414,-0.02616957617954,-0.00464098476443166,0.016493100857428,-35.2280276494,7.5576006317,44.818613509799995,1007.826691
48,7.543701028156862,-1.3419476408235294,-6.07666057817647,-0.0006594482316833333,-0.003432076086590196,-0.0022053045641411764,-0.02682207247694706,-0.006072127083829412,0.017351715635313725,-31.65430600019608,2.715047724090784,39.86921564705882,1007.834625
49,7.53664446718,-1.33767528994,-6.0902173278800005,-0.00032744184367986,0.0003924445622463999,8.438586253974003e-05,-0.026765758288739998,-0.009892711204802,0.014284128034238,-27.7801066588,-3.8114626312640003,34.9623136142,1007.844315
50,7.54757174372,-1.3482552886999999,-6.073712649520001,-0.0005321836168566,0.0033108303879838,0.00141540502229,-0.02747244107614,-0.009269845327584,0.01375135313288,-26.2686424252,-2.0715567779265998,35.6711775208,1007.848358
51,7.541423411627451,-1.3388511388431372,-6.083798675549019,-0.010949999781134706,-0.002343400537094118,0.00676724327494449,-0.023934935223784315,-0.007483630607307843,0.01847879511451961,-31.19214510470588,4.335569493882353,40.9623327817647,1007.848358
52,7.52740268556,-1.3389835692599998,-6.099498028599999,0.000309378891146,3.7901541322000234e-05,-8.411881960400004e-05,-0.02495896865162,-0.01233885586632,0.01688953038452,-29.9945028684,-0.055915450990599996,38.000503464,1007.844925
53,7.5219270722,-1.33808244326,-6.10368931276,0.004285387375796,-0.005931319761876,-0.007877216190150799,-0.0262860761052,-0.008698586976490001,0.0198492272267,-23.8821931452,-7.83565933224,31.2724799722,1007.844925
54,7.498453943588236,-1.3035921074509804,-6.138895864999999,0.002621728899415686,0.005057397206941176,-0.0018933835242901963,-0.031056648987013723,-0.010617735333935294,0.01424682119204098,-23.890001035098038,-5.93574785717647,33.5100665,1007.84874
55,7.5284205688,-1.30800997922,-6.11016185296,0.0036657315562262,-0.001225708360714,-0.003942300430396,-0.020049061667940002,-0.008803035788362,0.0198922276504,-29.547189330800002,0.3170355987732,39.5136437226,1007.862396
56,7.516313862431372,-1.3124354822941178,-6.114194291019608,0.0015985133317058826,-0.0016781343879313728,-0.002012486227335294,-0.030404340488333334,-0.012848777727656862,0.013923195006137255,-30.005136976470588,0.18415600645531371,39.053529626666666,1007.876129
57,7.51578384706,-1.31470405884,-6.1192479584,0.0032295784726999997,-0.0014131334235319998,-0.0030583300159210004,-0.02545682398076,-0.010482157319578,0.018063043176640002,-30.188896484,-0.224526214583,39.9828710942,1007.887039
58,7.50252741396,-1.30548922124,-6.14137195134,-0.004712884241954,-0.003044614177146,-0.0002544497976882001,-0.02656194773966,-0.008592047783416,0.014390547357868,-31.878098907600002,0.800574188246,41.41584953259999,1007.897949
59,7.288866254039215,-1.3149948658235293,-6.394881187882352,-0.004980135039529411,-0.020042151578725492,-0.0031554217671627455,-0.21038895302276472,-0.04669399968619608,-0.2003142463155686,-30.55350988117647,-3.535704668848686,39.075475729607845,1007.968521
60,6.86368289792,-1.37067566528,-6.908487725840001,-0.005298760817542,-0.0008156050554733996,0.0039183030739496,-0.525424787596,-0.1330410896236,-0.575799836834,-26.4129579164,-15.7802246097,34.3552648162,1008.030853
61,6.749802713059999,-1.3711426940799998,-7.037606222540001,1.3441519945999987e-05,-0.001372801931644,-0.001950463978318,-0.509270310688,-0.1395316364154,-0.55345633943,-24.8917449954,-28.810677185,33.1812701802,1008.09761
62,6.702541405215686,-1.3699364964705882,-7.0905756601960785,-0.0011001348486666667,-0.002141420674854902,0.0015802166841354902,-0.40042624775098035,-0.12765702264607842,-0.44001949909607846,-20.239714080392158,-45.75051101960784,28.066435346078432,1008.164673
63,6.6999354127,-1.38683007202,-7.09029365848,0.0020218960194668,-0.0016668686367464,-0.0025663708337186,-0.271148101656,-0.10794076453540001,-0.30555908271,-16.1138014212,-58.306576232999994,24.867453307999998,1008.229141
64,6.7090807476666665,-1.36624417472549,-7.096692352294117,0.0007504785248199999,0.0042083403096742,-0.0020261927228442,-0.155631772223,-0.0753103980582,-0.20947045473,-14.2268118286,-63.234203795599996,15.5610764312,1008.251038
65,6.7148503967,-1.3312596313,-7.0599158294599995,0.009415745476870588,-0.004383927978043137,-0.007163088979009804,-0.14110912410692156,-0.054389275136647056,-0.16013299437039216,-13.6554735972549,-71.56611139607843,7.799048031254902,1008.252563
66,6.73295375052,-1.39251524962,-7.0619635712,-0.005954515412252,0.0012869892642966001,0.002688525072216,-0.1254576719292,-0.08567934743402,-0.16409107944030002,-10.8003451528,-83.15998535160001,1.5471488952258,1008.252563
67,6.732106395058824,-1.3622994367254901,-7.037662165039216,0.0009177003704184313,0.0008548257744235293,-0.002231530594070588,-0.10958247363303922,-0.06584867416864705,-0.12496177438980392,-8.465812533431372,-102.67926414372549,-7.284161810941176,1008.247223
68,6.73294177552,-1.35268008734,-7.04925799254,0.001913837366664,-0.00011850010577140014,-0.001233085975938,-0.08746993735874,-0.04974064387706,-0.1216927316319,-10.706983184799999,-115.19219909600001,-12.764778441999999,1008.244476
69,6.73664806824,-1.3543296570199999,-7.04837782282,-0.000544293131806,0.00011593405150799984,0.0018089087492038,-0.07771016260368,-0.042948983029582,-0.11338222435898,-12.0899771123,-127.55686584200001,-14.0375509648,1008.240509
70,6.7554020690980385,-1.4055242560588235,-7.054359795039216,0.002478252393452941,-0.0004358374624784312,-0.0019846792178764704,-0.04189466956676274,-0.06590752180976471,-0.10708057617429412,-11.97332943219608,-147.87995282156862,-16.66167764098039,1008.230896
71,6.71297330022,-1.41684565426,-7.0203022064,-0.0013197978725731998,0.0032513450272400003,0.003938206923508,-0.0775621578858,-0.05916142630468,-0.07725006859896,-7.7327604674999995,-162.452716368,-21.877382203000003,1008.215027
72,6.7976222717,-1.43151814266,-7.08522519832,0.0014211255940594003,-0.009516780982548,0.001473923493608,0.019084540059545997,-0.07230822997134,-0.12148535428138,-4.57388763426,-185.58566284,-26.773685607799997,1008.195419
73,6.795175242666667,-1.446794316882353,-7.131252836333333,0.0029527811977882353,-0.004755070067919608,-0.002217195393749412,0.08099775226058824,-0.06130112830587647,-0.11685516021196078,-4.459254545536666,-187.80905899215688,-25.817922704901964,1008.1830215
74,6.7576553833,-1.3632211669599998,-7.06929831854,-0.001368737702436,0.00404703279998,-0.000484656891758,0.056906237086380006,0.015378878834000003,-0.03477287692982,-4.29150482174,-186.39846801200002,-28.525000152399997,1008.170624
75,6.764362846882352,-1.4541437395882355,-6.9558205908039215,0.00032934563576411766,0.003945952564425882,-0.0017345149354431372,0.025520172716862747,-0.07095505620337254,0.034472661158000004,2.3027449963,-187.7387623490196,-35.27438833254902,1008.143539
76,6.75697879028,-1.40524777226,-6.8654282684600005,-0.0012518510847615999,0.006367965993022,0.0013031741275439997,-0.024531700907299996,-0.039587681877486,0.09263694642427801,-5.5019790651352,-169.562873538,-51.2938421632,1008.117142
