Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,3.841470444490392,-5.835673478080196,-5.310048873060785,-0.4685990390312,0.8508262069670001,-0.5775074900154,-0.29067604778496,0.5996174523538,-0.023294131885,-14.96253723116,41.5296022798,11.88178161652,1015.942459
12,9.416517655487361,-3.8289633717671214,-2.520155332546799,0.033858564670147084,-0.025442101912385717,-0.29156532393080814,0.9196380539090272,-0.08301284304963619,-0.06131643873353987,-35.2070089294912,30.420375966055587,2.144029206267664,1015.9314301780415
13,9.234032086898887,-3.5009396552266647,-2.440713862011417,-0.009576150307716531,0.013217742062414752,-0.06491374879418074,0.5574037408357391,-0.15275668567984743,-0.11822031267411393,-36.513931355351325,28.553684229619456,1.2894274696057797,1015.9246081326014
14,9.005306582804282,-3.4092290670057617,-2.3436327752375523,0.02545458044247429,0.021593463665473208,0.033540970125362224,0.2729360369361844,-0.25430802612314696,-0.12693041874381378,-36.98716376006812,27.67889245923744,0.6673273803672125,1015.9146060328848
15,8.978554369736267,-3.4375850073974994,-2.290307523797656,-0.07114190269294587,0.03327130583532311,0.05012642833085111,0.18658041380044754,-0.3443765121698374,-0.290703413466937,-36.83311147355394,27.843587280736234,0.08838444814769764,1015.9051119481238
16,8.95719319574529,-3.486746925950189,-2.1972603229897136,-0.103261843137046,0.01743128584480638,0.005825275677781884,0.16507142320177404,-0.4180525253600257,-0.19001144409025367,-36.568677887843336,28.188421597336788,0.8513887151021297,1015.896043759078
17,8.90290634430631,-3.557992069596674,-2.1056317994229166,-0.05972282768807895,-0.011919107682752852,-0.04921584493805618,0.12372030284692273,-0.5586756862127344,0.05450420279046836,-36.67750718388202,27.929700175361376,1.7426322478056122,1015.8869186790263
18,8.747274752979186,-3.5853599716813056,-2.0445991066600757,-0.05529563480036656,0.014415138611181193,-0.043169489330096227,-0.08457407645418952,-0.6698501149263619,0.0846681000489678,-36.99880189673728,27.28938851466901,1.2110909100403395,1015.8728779197169
19,8.620298393797444,-3.621454378300753,-1.9511940174367532,-0.04577979993200742,0.016020894409256203,0.008881838861753477,-0.20461190470111315,-0.7109482050942627,0.0866032513716742,-36.89952992118873,27.232747327853,0.5664657165954344,1015.8565333781958
20,8.691766011181201,-3.7727648620939207,-1.806234360038633,-0.012605678603188217,0.028189433129557656,0.08346566714653075,-0.1347026055901514,-0.7384341463853544,0.1862354234251824,-36.696198652575866,27.48315099866282,-0.13897406971348203,1015.8377330557126
21,8.79614832387695,-3.994276821966607,-1.6902976566075798,0.020843199835357033,0.01811476912176898,0.11440338427783864,0.02403883260950429,-0.7926364066917644,0.18334556572091698,-36.316987187897055,27.483118736905936,-1.2455072022639462,1015.8187020651442
22,8.657830321690003,-3.9212327147275974,-1.653040691623544,-0.0734302736212667,0.04089807343933808,0.012669478467791775,-0.16811352264344348,-0.7311981799973798,-0.06464743785701857,-36.239197650269375,27.401229394103186,-2.4192416743364387,1015.8048627483403
23,8.624456979001328,-4.023171490264589,-1.5674610703876453,-0.11326932400054644,0.025056279752874625,-0.07153547286641986,-0.17248332246986828,-0.7300973296708638,-0.15773483423418028,-35.584625072788945,28.242099039150922,-2.7192142500964804,1015.7958136277166
24,8.838534737320668,-4.256456189641605,-1.477889547629184,-0.16553931264125776,0.08133089994359792,-0.023796469981460087,0.07412483872109715,-0.7171921535349474,-0.508896358528226,-34.27735158184379,30.147959063288805,-3.7400704748796034,1015.7895460553245
25,8.757621548747506,-4.397877798780778,-1.397535241796381,-0.23631787827314898,0.11790772941695082,0.06735877049699279,0.08112265778610199,-0.7406340488770279,-0.9995281591886798,-33.85839116173473,31.064050067360338,-3.2414751875230077,1015.7889123031251
26,8.734238654364322,-4.367747529710207,-1.3101200464309444,-0.33226676856950543,0.1097766963999376,0.05854206701529806,-0.010402101207967057,-0.772742641056841,-1.1228589566862077,-33.63765764685761,30.688703584548986,1.3798030434443098,1015.7961186257311
27,8.726073792102186,-4.125994692770005,-1.262913919408743,-0.27484051244169627,0.11901335884506896,0.11001073020805496,-0.06207327603058246,-0.6805142171514131,-0.8142876072400277,-33.3392852799048,28.768686548270047,7.289637700405825,1015.8058709801145
28,8.486780258679438,-4.1296095157461705,-1.1808973077953455,-0.2056933833195036,0.07649490542044224,0.0013026240260144567,-0.27007474735292386,-0.5743412647236371,-0.44139882517169204,-32.250411672155906,28.700975917886957,11.561343151224115,1015.8155852341711
