iter	Passed	Remaining
0	68	27316
1	131	26135
2	190	25162
3	244	24169
4	304	24031
5	372	24435
6	436	24526
7	493	24194
8	559	24325
9	638	24902
10	710	25110
11	767	24815
12	835	24864
13	893	24637
14	946	24305
15	1004	24119
16	1060	23895
17	1115	23670
18	1168	23427
19	1219	23168
20	1271	22939
21	1323	22743
22	1384	22696
23	1494	23418
24	1553	23303
25	1631	23468
26	1703	23528
27	1775	23591
28	1844	23591
29	1915	23627
30	1998	23790
31	2062	23723
32	2123	23614
33	2141	23054
34	2201	22962
35	2261	22870
36	2278	22353
37	2331	22207
38	2386	22090
39	2436	21926
40	2489	21796
41	2541	21662
42	2597	21565
43	2667	21584
44	2727	21518
45	2777	21377
46	2837	21312
47	2901	21274
48	2958	21193
49	3011	21077
50	3072	21026
51	3144	21047
52	3248	21265
53	3299	21141
54	3354	21041
55	3416	20989
56	3474	20905
57	3526	20792
58	3578	20685
59	3631	20579
60	3689	20505
61	3744	20414
62	3798	20317
63	3851	20221
64	3880	19999
65	3932	19899
66	3984	19803
67	4036	19706
68	4091	19629
69	4146	19549
70	4206	19491
71	4254	19382
72	4304	19280
73	4353	19177
74	4408	19104
75	4464	19032
76	4524	18980
77	4574	18883
78	4599	18690
79	4653	18612
80	4705	18532
81	4760	18460
82	4811	18374
83	4878	18353
84	4939	18304
85	4995	18240
86	5049	18167
87	5104	18097
88	5163	18043
89	5222	17986
90	5278	17925
91	5337	17868
92	5391	17799
93	5442	17717
94	5499	17657
95	5553	17585
96	5607	17516
97	5656	17432
98	5710	17362
99	5769	17309
100	5827	17251
101	5879	17175
102	5893	16993
103	5956	16954
104	6010	16887
105	6065	16822
106	6118	16753
107	6169	16680
108	6221	16611
109	6276	16547
110	6326	16472
111	6380	16407
112	6430	16333
113	6483	16266
114	6537	16200
115	6591	16138
116	6645	16073
117	6695	16000
118	6748	15934
119	6799	15865
120	6851	15798
121	6905	15736
122	6966	15688
123	7035	15659
124	7103	15626
125	7165	15582
126	7234	15551
127	7313	15541
128	7376	15495
129	7433	15439
130	7491	15382
131	7557	15343
132	7617	15292
133	7672	15231
134	7728	15171
135	7777	15097
136	7831	15033
137	7882	14965
138	7944	14918
139	8040	14932
140	8095	14870
141	8147	14804
142	8215	14765
143	8274	14710
144	8326	14643
145	8378	14575
146	8429	14507
147	8482	14443
148	8539	14384
149	8592	14321
150	8644	14255
151	8699	14193
152	8748	14123
153	8801	14058
154	8815	13934
155	8869	13872
156	8933	13826
157	9015	13808
158	9080	13763
159	9147	13720
160	9201	13659
161	9265	13612
162	9325	13559
163	9378	13496
164	9429	13430
165	9483	13368
166	9535	13304
167	9587	13239
168	9640	13176
169	9690	13110
170	9745	13051
171	9801	12992
172	9855	12931
173	9915	12878
174	9968	12816
175	10035	12772
176	10100	12725
177	10159	12670
178	10214	12610
179	10273	12556
180	10329	12497
181	10379	12432
182	10434	12373
183	10490	12314
184	10544	12254
185	10601	12196
186	10655	12136
187	10704	12070
188	10754	12006
189	10803	11941
190	10854	11877
191	10913	11822
192	10973	11769
193	11034	11717
194	11087	11656
195	11143	11597
196	11197	11538
197	11247	11474
198	11297	11410
199	11349	11349
200	11404	11291
201	11456	11229
202	11507	11167
203	11561	11108
204	11616	11050
205	11674	10994
206	11689	10898
207	11743	10840
208	11798	10782
209	11850	10721
210	11901	10660
211	11949	10596
212	12000	10535
213	12054	10477
214	12104	10415
215	12158	10356
216	12209	10296
217	12262	10237
218	12315	10178
219	12366	10117
220	12421	10060
221	12477	10004
222	12526	9942
223	12581	9885
224	12632	9825
225	12688	9768
226	12740	9709
227	12792	9650
228	12844	9591
229	12895	9531
230	12945	9470
231	12998	9412
232	13054	9356
233	13107	9298
234	13157	9238
235	13206	9177
236	13256	9117
237	13310	9060
238	13362	9001
239	13412	8941
240	13463	8882
241	13516	8825
242	13567	8765
243	13617	8706
244	13670	8648
245	13721	8589
246	13775	8533
247	13837	8480
248	13890	8423
249	13949	8369
250	14005	8314
251	14061	8258
252	14112	8199
253	14163	8140
254	14222	8087
255	14301	8044
256	14370	7996
257	14426	7940
258	14480	7883
259	14530	7823
260	14585	7767
261	14638	7710
262	14690	7652
263	14743	7594
264	14797	7538
265	14856	7484
266	14935	7439
267	14998	7387
268	15053	7330
269	15118	7279
270	15169	7220
271	15218	7161
272	15267	7102
273	15324	7046
274	15380	6990
275	15433	6933
276	15486	6876
277	15539	6819
278	15595	6763
279	15645	6705
