iter	Passed	Remaining
0	590	176514
1	1051	156700
2	1753	173592
3	2283	168987
4	2751	162361
5	3219	157754
6	3684	154231
7	4158	151783
8	4621	149425
9	5100	147915
10	5573	146427
11	6055	145330
12	6535	144285
13	7024	143503
14	7501	142535
15	7970	141468
16	8439	140491
17	8902	139470
18	9362	138467
19	9828	137604
20	10316	137062
21	10839	136970
22	11331	136471
23	11828	136032
24	12505	137563
25	12987	136871
26	13483	136330
27	13971	135722
28	14440	134946
29	14921	134294
30	15430	133897
31	15925	133372
32	16399	132685
33	16894	132175
34	17379	131586
35	17615	129181
36	18117	128780
37	18627	128430
38	19116	127936
39	19585	127308
40	20059	126718
41	20582	126436
42	21056	125849
43	21530	125269
44	22039	124892
45	22518	124340
46	23221	125002
47	23718	124521
48	24212	124025
49	24700	123501
50	25191	122994
51	25681	122480
52	26153	121884
53	26376	120160
54	26880	119742
55	27407	119417
56	27877	118844
57	28353	118301
58	28832	117773
59	29318	117273
60	29787	116708
61	30261	116165
62	30373	114261
63	30843	113735
64	31312	113205
65	31783	112687
66	32279	112255
67	32734	111683
68	33398	111811
69	33866	111277
70	34347	110782
71	34811	110237
72	35291	109742
73	35753	109193
74	36230	108691
75	36700	108170
76	37273	107948
77	37863	107766
78	38394	107407
79	38852	106843
80	39313	106292
81	39772	105736
82	40237	105198
83	40709	104681
84	41176	104151
85	41654	103651
86	42144	103181
87	42625	102689
88	43094	102167
89	43774	102139
90	44291	101725
91	44769	101217
92	45247	100711
93	45713	100179
94	46237	99775
95	46733	99309
96	47246	98876
97	47768	98462
98	48286	98036
99	48775	97550
100	49293	97121
101	49826	96721
102	50367	96333
103	50880	95890
104	51141	94977
105	51665	94558
106	52436	94581
107	53074	94355
108	53659	94027
109	53960	93203
110	54591	92952
111	55160	92590
112	55746	92252
113	56594	92337
114	57102	91860
115	57844	91753
116	58496	91494
117	59158	91243
118	59967	91211
119	60644	90966
120	61258	90621
121	61951	90388
122	62677	90194
123	63225	89739
124	63791	89308
125	64446	88997
126	65131	88722
127	65772	88381
128	66338	87937
129	66823	87383
130	67672	87302
131	68245	86858
132	68688	86248
133	69142	85653
134	69587	85051
135	70033	84452
136	70568	83961
137	71132	83503
138	71738	83093
139	72254	82576
140	72741	82027
141	73261	81516
142	73826	81054
143	74374	80572
144	74957	80126
145	75767	79918
146	76266	79378
147	76940	79019
148	77739	78782
149	78372	78372
150	78839	77795
151	79293	77206
152	79726	76600
153	80153	75989
154	80580	75382
155	81010	74779
156	81457	74193
157	81896	73603
158	82354	73031
159	82789	72441
160	82901	71573
161	83336	70990
162	83772	70410
163	84500	70073
164	85033	69573
165	85529	69041
166	85990	68483
167	86448	67924
168	86894	67355
169	87342	66791
170	87759	66204
171	88231	65660
172	88737	65142
173	89240	64622
174	89748	64105
175	90278	63604
176	90788	63090
177	91317	62588
178	91876	62106
179	92447	61631
180	93014	61153
181	93618	60697
182	94205	60229
183	94659	59676
184	95097	59114
185	95589	58586
186	96036	58032
187	96595	57546
188	97116	57036
189	97662	56541
190	98347	56124
191	98965	55668
192	99708	55278
193	100336	54823
194	100856	54307
195	101403	53806
196	102334	53504
197	102861	52989
198	103352	52455
199	103844	51922
200	104338	51390
201	104807	50847
202	105283	50307
203	106076	49918
204	106887	49533
205	107557	49079
206	108062	48550
207	108545	48010
208	109219	47555
209	109783	47050
210	110273	46513
211	110784	45986
212	111396	45500
213	112107	45052
214	112904	44636
215	113796	44254
216	114949	43967
217	115880	43588
218	116497	43088
219	117223	42626
220	118099	42216
221	118884	41770
222	119708	41334
223	120474	40875
224	121174	40391
225	121940	39927
226	122238	39310
227	122748	38762
228	123228	38206
229	123709	37650
230	124231	37108
231	124726	36557
232	125213	36005
233	125707	35456
234	126189	34903
235	126696	34358
236	127235	33822
237	127809	33294
238	128403	32772
239	128899	32224
240	129370	31671
241	129859	31123
242	130411	30590
243	130933	30050
244	131643	29552
245	132131	29004
246	132653	28464
247	133116	27911
248	133271	27296
249	133790	26758
250	134389	26235
251	135035	25720
252	135547	25180
253	136047	24638
254	136549	24096
255	137055	23556
256	137577	23018
257	138084	22478
258	138577	21936
259	139077	21396
260	139568	20855
261	140066	20314
262	140678	19791
263	141305	19268
264	141983	18752
265	142340	18193
266	142677	17634
267	142990	17073
268	143275	16511
269	143561	15951
270	143836	15392
271	144131	14837
272	144390	14280
273	144768	13737
274	145096	13190
275	145398	12643
276	145720	12099
277	146038	11556
278	146353	11015
279	146690	10477
280	147111	9947
281	147466	9412
282	147889	8883
283	148369	8358
284	148750	7828
285	149109	7299
286	149453	6769
287	149832	6243
288	150231	5718
289	150748	5198
290	151045	4671
291	151394	4147
292	151742	3625
293	152042	3102
294	152375	2582
295	152662	2063
296	152975	1545
297	153321	1029
298	153671	513
299	154046	0
