Time (s),Accelerometer_X (m/s^2)_kalman,Accelerometer_Y (m/s^2)_kalman,Accelerometer_Z (m/s^2)_kalman,Gyroscope_X (rad/s)_kalman,Gyroscope_Y (rad/s)_kalman,Gyroscope_Z (rad/s)_kalman,Linear Accelerometer_X (m/s^2)_kalman,Linear Accelerometer_Y (m/s^2)_kalman,Linear Accelerometer_Z (m/s^2)_kalman,Magnetometer_X (µT)_kalman,Magnetometer_Y (µT)_kalman,Magnetometer_Z (µT)_kalman,Barometer_X (hPa)_kalman
11,4.3731649567,0.8798283874499999,8.72903487858,-0.1515873365162,0.012011751718466,-0.2237416574376,-0.978946773586,0.986992992572,0.48180307362466,0.8947441863762,24.9202867894,28.434825058,1007.684479
12,4.638116613006627,0.7121190429116165,8.57314957781197,-0.18444205861313068,-0.00440984386588196,-0.2550609985653318,-0.6611258442537691,0.7742145206049239,0.31412424592434907,-2.278421541515658,22.907614411087525,31.19011351665503,1007.684479
13,4.834042877664257,0.13591340152120146,8.410658673057625,-0.10428445463639557,0.0026989538752056315,-0.1311118497910535,-0.468465550078645,0.3544848250181678,0.16375764502917395,-2.822222155366688,22.455238323684657,31.66676315573664,1007.6841603292793
14,4.997275179595494,-0.5751827594201117,8.311130439972189,-0.0009767411633993528,-0.0037480869498857667,0.01755420991214629,-0.26107344073801664,-0.28758957900260307,0.03810489646857934,-2.555047725361453,23.057086358754,31.556149838029672,1007.6840482770166
15,5.007999101280325,-1.247257777726862,8.247767277096855,0.10882908054032162,-0.009463239979040194,0.17070808546907426,-0.2574470490071765,-0.9664101964736725,-0.01962484666567304,-0.9819051789824504,24.05133888723001,30.45567769769341,1007.6822248344887
16,5.03452201034535,-1.5035192447115087,8.257041142335918,0.16424486086860987,-0.006257717945780412,0.247807254589784,-0.243686024032087,-1.285720373369684,-0.010373251664714886,2.056099879487637,24.484773831553373,28.28097770480737,1007.6791612831435
17,5.025431910579338,-1.1121196990401077,8.275123935841556,0.1269691556837466,-0.005242437138237853,0.19317031203865348,-0.2204745401085383,-0.9453796166834079,-0.002606489603094261,4.813296630605786,23.939654368024783,26.23561082026626,1007.674805415379
18,5.0710684221665,-0.8943647078169038,8.24122869342002,0.09759595057403976,-0.004873435797450555,0.14617892600051996,-0.18102784489050092,-0.7715966635266382,-0.0463759378383092,6.565967997766235,23.79846472503088,25.098396170830924,1007.6717679531275
19,5.192105054805122,-0.6842053751536511,8.166441047009007,0.07865716982257509,-0.003772063345472797,0.10958147274291359,-0.06303192974937342,-0.6055596454489096,-0.11191943429761825,8.04116782410434,24.12005865138791,23.69803844108786,1007.6699180417332
20,5.243463988908114,-0.5111237123746104,8.140049668235534,0.054783267917949005,-0.004352062469691808,0.08612920229079027,-0.014333616885357753,-0.46539553226874303,-0.13986507089321049,9.394479965609646,23.675142947601124,22.58484895230526,1007.6713280400186
21,5.257804947554109,-0.4120407566688485,8.136520818220632,0.03123327507990727,-0.000757290736904954,0.06023755877994512,0.013210270325521897,-0.3083312903469708,-0.13908750365463593,10.296680960210438,23.38720026374512,21.93912943224513,1007.6757034712782
22,5.275859679482118,-0.268988992456875,8.149851544643003,0.014135830428809254,0.002741146560615487,0.021094651567989647,0.04399159168433738,-0.1301342842918693,-0.14277052668150952,10.82200686378284,23.549860000121623,21.744648747837157,1007.6805587012993
23,5.24795869944508,-0.30898371869410846,8.171986576458929,0.016538580400617488,0.0029438468150542896,0.021742144890361963,0.043378671662126375,-0.18086982827222065,-0.14654846605067126,11.042921423685037,23.28390333389119,21.61043695100706,1007.6840954176402
24,5.250729067675854,-0.2717845834926649,8.148623275902775,0.019347700783553395,0.00032437659089942046,0.023297894753727972,0.06220218952033231,-0.17092716946856154,-0.17836097329252987,11.372552837221944,22.972180344551955,21.40948382511516,1007.686674012224
